Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Central	Option=No	Option=Yes	Count	Weight
CR07	1960s	Electricity	Both Shared	1	0	0	0
CR07	1960s	Electricity	Neither Shared	0.933536544	0.066463456	16	237795.4452
CR07	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR07	1960s	Electricity	Only Heating Shared	1	0	2	19807.60861
CR07	1960s	Fuel Oil	Both Shared	1	0	0	0
CR07	1960s	Fuel Oil	Neither Shared	0.948188209	0.051811791	29	301538.8697
CR07	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	1960s	Fuel Oil	Only Heating Shared	1	0	21	194166.588
CR07	1960s	Natural Gas	Both Shared	1	0	2	39831.75929
CR07	1960s	Natural Gas	Neither Shared	1	0	67	695527.2908
CR07	1960s	Natural Gas	Only Cooling Shared	1	0	0	0
CR07	1960s	Natural Gas	Only Heating Shared	1	0	37	395041.1663
CR07	1960s	None	Both Shared	1	0	0	0
CR07	1960s	None	Neither Shared	1	0	0	0
CR07	1960s	None	Only Cooling Shared	1	0	0	0
CR07	1960s	None	Only Heating Shared	1	0	0	0
CR07	1960s	Other Fuel	Both Shared	1	0	0	0
CR07	1960s	Other Fuel	Neither Shared	1	0	10	114366.5928
CR07	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	1960s	Other Fuel	Only Heating Shared	1	0	1	14103.9068
CR07	1960s	Propane	Both Shared	1	0	0	0
CR07	1960s	Propane	Neither Shared	1	0	0	0
CR07	1960s	Propane	Only Cooling Shared	1	0	0	0
CR07	1960s	Propane	Only Heating Shared	1	0	1	10550.53818
CR07	1970s	Electricity	Both Shared	1	0	1	21905.00447
CR07	1970s	Electricity	Neither Shared	0.734682336	0.265317664	23	316128.0753
CR07	1970s	Electricity	Only Cooling Shared	1	0	0	0
CR07	1970s	Electricity	Only Heating Shared	1	0	4	32764.98868
CR07	1970s	Fuel Oil	Both Shared	1	0	1	8316.45858
CR07	1970s	Fuel Oil	Neither Shared	0.942084761	0.057915239	21	243057.8216
CR07	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	1970s	Fuel Oil	Only Heating Shared	1	0	9	89274.7111
CR07	1970s	Natural Gas	Both Shared	1	0	2	33998.46389
CR07	1970s	Natural Gas	Neither Shared	1	0	57	751317.2307
CR07	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR07	1970s	Natural Gas	Only Heating Shared	1	0	23	211030.7507
CR07	1970s	None	Both Shared	1	0	0	0
CR07	1970s	None	Neither Shared	1	0	0	0
CR07	1970s	None	Only Cooling Shared	1	0	0	0
CR07	1970s	None	Only Heating Shared	1	0	0	0
CR07	1970s	Other Fuel	Both Shared	1	0	0	0
CR07	1970s	Other Fuel	Neither Shared	0.895587523	0.104412477	14	155843.9128
CR07	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	1970s	Other Fuel	Only Heating Shared	1	0	1	10806.57262
CR07	1970s	Propane	Both Shared	1	0	0	0
CR07	1970s	Propane	Neither Shared	1	0	3	53792.88038
CR07	1970s	Propane	Only Cooling Shared	1	0	0	0
CR07	1970s	Propane	Only Heating Shared	1	0	0	0
CR07	1980s	Electricity	Both Shared	1	0	1	10438.12001
CR07	1980s	Electricity	Neither Shared	0.706130638	0.293869362	19	241995.9974
CR07	1980s	Electricity	Only Cooling Shared	1	0	0	0
CR07	1980s	Electricity	Only Heating Shared	1	0	6	53854.04817
CR07	1980s	Fuel Oil	Both Shared	1	0	0	0
CR07	1980s	Fuel Oil	Neither Shared	0.816940757	0.183059243	8	94735.80526
CR07	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	1980s	Fuel Oil	Only Heating Shared	1	0	5	50394.65364
CR07	1980s	Natural Gas	Both Shared	1	0	4	42293.25144
CR07	1980s	Natural Gas	Neither Shared	1	0	56	689883.0097
CR07	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR07	1980s	Natural Gas	Only Heating Shared	1	0	6	60658.2777
CR07	1980s	None	Both Shared	1	0	0	0
CR07	1980s	None	Neither Shared	1	0	0	0
CR07	1980s	None	Only Cooling Shared	1	0	0	0
CR07	1980s	None	Only Heating Shared	1	0	0	0
CR07	1980s	Other Fuel	Both Shared	1	0	0	0
CR07	1980s	Other Fuel	Neither Shared	1	0	6	64617.9094
CR07	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	1980s	Other Fuel	Only Heating Shared	1	0	2	23808.89428
CR07	1980s	Propane	Both Shared	1	0	0	0
CR07	1980s	Propane	Neither Shared	1	0	5	91948.46524
CR07	1980s	Propane	Only Cooling Shared	1	0	0	0
CR07	1980s	Propane	Only Heating Shared	1	0	0	0
CR07	1990s	Electricity	Both Shared	1	0	1	14496.64792
CR07	1990s	Electricity	Neither Shared	0.755758439	0.244241561	13	163422.9879
CR07	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR07	1990s	Electricity	Only Heating Shared	1	0	1	8045.530695
CR07	1990s	Fuel Oil	Both Shared	1	0	0	0
CR07	1990s	Fuel Oil	Neither Shared	0.882520497	0.117479503	10	104402.3389
CR07	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	1990s	Fuel Oil	Only Heating Shared	1	0	6	54889.77331
CR07	1990s	Natural Gas	Both Shared	1	0	0	0
CR07	1990s	Natural Gas	Neither Shared	1	0	44	540423.4856
CR07	1990s	Natural Gas	Only Cooling Shared	1	0	1	15489.57503
CR07	1990s	Natural Gas	Only Heating Shared	1	0	3	36515.66399
CR07	1990s	None	Both Shared	1	0	0	0
CR07	1990s	None	Neither Shared	1	0	0	0
CR07	1990s	None	Only Cooling Shared	1	0	0	0
CR07	1990s	None	Only Heating Shared	1	0	0	0
CR07	1990s	Other Fuel	Both Shared	1	0	0	0
CR07	1990s	Other Fuel	Neither Shared	1	0	5	60742.50711
CR07	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	1990s	Other Fuel	Only Heating Shared	1	0	0	0
CR07	1990s	Propane	Both Shared	1	0	0	0
CR07	1990s	Propane	Neither Shared	1	0	5	111473.3013
CR07	1990s	Propane	Only Cooling Shared	1	0	0	0
CR07	1990s	Propane	Only Heating Shared	1	0	0	0
CR07	2000s	Electricity	Both Shared	1	0	0	0
CR07	2000s	Electricity	Neither Shared	0.204312397	0.795687603	12	154947.9085
CR07	2000s	Electricity	Only Cooling Shared	1	0	1	23548.5043
CR07	2000s	Electricity	Only Heating Shared	1	0	3	31777.45865
CR07	2000s	Fuel Oil	Both Shared	1	0	1	7411.869461
CR07	2000s	Fuel Oil	Neither Shared	1	0	3	35286.8239
CR07	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	2000s	Fuel Oil	Only Heating Shared	1	0	5	44223.34931
CR07	2000s	Natural Gas	Both Shared	1	0	1	5746.669024
CR07	2000s	Natural Gas	Neither Shared	0.9617904	0.0382096	50	603098.273
CR07	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR07	2000s	Natural Gas	Only Heating Shared	1	0	5	47787.52546
CR07	2000s	None	Both Shared	1	0	0	0
CR07	2000s	None	Neither Shared	1	0	0	0
CR07	2000s	None	Only Cooling Shared	1	0	0	0
CR07	2000s	None	Only Heating Shared	1	0	0	0
CR07	2000s	Other Fuel	Both Shared	1	0	0	0
CR07	2000s	Other Fuel	Neither Shared	0.591804796	0.408195204	4	39863.40064
CR07	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR07	2000s	Propane	Both Shared	1	0	0	0
CR07	2000s	Propane	Neither Shared	0.901069616	0.098930384	12	243405.8413
CR07	2000s	Propane	Only Cooling Shared	1	0	0	0
CR07	2000s	Propane	Only Heating Shared	1	0	1	11464.26599
CR08	<1950	Electricity	Both Shared	1	0	1	8684.708354
CR08	<1950	Electricity	Neither Shared	0.676119713	0.323880287	50	404153.8032
CR08	<1950	Electricity	Only Cooling Shared	1	0	1	3276.422526
CR08	<1950	Electricity	Only Heating Shared	1	0	1	14495.67041
CR08	<1950	Fuel Oil	Both Shared	1	0	0	0
CR08	<1950	Fuel Oil	Neither Shared	0.951865186	0.048134814	21	287549.1419
CR08	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	<1950	Fuel Oil	Only Heating Shared	1	0	1	15360.88869
CR08	<1950	Natural Gas	Both Shared	1	0	3	34085.86136
CR08	<1950	Natural Gas	Neither Shared	0.931792522	0.068207478	146	845200.1361
CR08	<1950	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	<1950	Natural Gas	Only Heating Shared	1	0	9	116039.1015
CR08	<1950	None	Both Shared	1	0	0	0
CR08	<1950	None	Neither Shared	1	0	0	0
CR08	<1950	None	Only Cooling Shared	1	0	0	0
CR08	<1950	None	Only Heating Shared	1	0	0	0
CR08	<1950	Other Fuel	Both Shared	1	0	0	0
CR08	<1950	Other Fuel	Neither Shared	0.979416877	0.020583123	15	145426.8908
CR08	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	<1950	Other Fuel	Only Heating Shared	1	0	1	15549.52022
CR08	<1950	Propane	Both Shared	1	0	0	0
CR08	<1950	Propane	Neither Shared	1	0	15	97995.5964
CR08	<1950	Propane	Only Cooling Shared	1	0	0	0
CR08	<1950	Propane	Only Heating Shared	1	0	0	0
CR08	1950s	Electricity	Both Shared	1	0	1	10279.74334
CR08	1950s	Electricity	Neither Shared	0.642608717	0.357391283	48	386849.0016
CR08	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR08	1950s	Electricity	Only Heating Shared	1	0	0	0
CR08	1950s	Fuel Oil	Both Shared	1	0	0	0
CR08	1950s	Fuel Oil	Neither Shared	1	0	4	56728.04844
CR08	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	1950s	Fuel Oil	Only Heating Shared	1	0	1	12825.072
CR08	1950s	Natural Gas	Both Shared	1	0	2	24786.08881
CR08	1950s	Natural Gas	Neither Shared	0.981845484	0.018154516	112	568969.5677
CR08	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	1950s	Natural Gas	Only Heating Shared	1	0	2	23561.32144
CR08	1950s	None	Both Shared	1	0	0	0
CR08	1950s	None	Neither Shared	1	0	0	0
CR08	1950s	None	Only Cooling Shared	1	0	0	0
CR08	1950s	None	Only Heating Shared	1	0	0	0
CR08	1950s	Other Fuel	Both Shared	1	0	0	0
CR08	1950s	Other Fuel	Neither Shared	1	0	6	38997.01097
CR08	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	1950s	Propane	Both Shared	1	0	0	0
CR08	1950s	Propane	Neither Shared	1	0	3	64603.61035
CR08	1950s	Propane	Only Cooling Shared	1	0	0	0
CR08	1950s	Propane	Only Heating Shared	1	0	0	0
CR08	1960s	Electricity	Both Shared	1	0	1	12998.79267
CR08	1960s	Electricity	Neither Shared	0.458808515	0.541191485	54	452894.3948
CR08	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR08	1960s	Electricity	Only Heating Shared	1	0	1	12415.81743
CR08	1960s	Fuel Oil	Both Shared	1	0	0	0
CR08	1960s	Fuel Oil	Neither Shared	0.834170386	0.165829614	6	74349.54415
CR08	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR08	1960s	Natural Gas	Both Shared	1	0	4	55307.04504
CR08	1960s	Natural Gas	Neither Shared	0.970238686	0.029761314	113	623593.2511
CR08	1960s	Natural Gas	Only Cooling Shared	1	0	4	34506.10028
CR08	1960s	Natural Gas	Only Heating Shared	1	0	1	14023.04944
CR08	1960s	None	Both Shared	1	0	0	0
CR08	1960s	None	Neither Shared	1	0	0	0
CR08	1960s	None	Only Cooling Shared	1	0	0	0
CR08	1960s	None	Only Heating Shared	1	0	0	0
CR08	1960s	Other Fuel	Both Shared	1	0	0	0
CR08	1960s	Other Fuel	Neither Shared	0.774759693	0.225240307	5	48211.82696
CR08	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	1960s	Propane	Both Shared	1	0	0	0
CR08	1960s	Propane	Neither Shared	0.850769051	0.149230949	9	65493.54481
CR08	1960s	Propane	Only Cooling Shared	1	0	0	0
CR08	1960s	Propane	Only Heating Shared	1	0	0	0
CR08	1970s	Electricity	Both Shared	1	0	2	24939.92019
CR08	1970s	Electricity	Neither Shared	0.710301537	0.289698463	138	996767.0724
CR08	1970s	Electricity	Only Cooling Shared	1	0	1	4718.007951
CR08	1970s	Electricity	Only Heating Shared	1	0	1	10552.0454
CR08	1970s	Fuel Oil	Both Shared	1	0	0	0
CR08	1970s	Fuel Oil	Neither Shared	1	0	5	54088.28456
CR08	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	1970s	Fuel Oil	Only Heating Shared	1	0	0	0
CR08	1970s	Natural Gas	Both Shared	1	0	3	26706.07672
CR08	1970s	Natural Gas	Neither Shared	0.935302716	0.064697284	122	750751.2081
CR08	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	1970s	Natural Gas	Only Heating Shared	1	0	1	5104.172954
CR08	1970s	None	Both Shared	1	0	0	0
CR08	1970s	None	Neither Shared	1	0	0	0
CR08	1970s	None	Only Cooling Shared	1	0	0	0
CR08	1970s	None	Only Heating Shared	1	0	0	0
CR08	1970s	Other Fuel	Both Shared	1	0	0	0
CR08	1970s	Other Fuel	Neither Shared	0.807191539	0.192808461	12	92524.06247
CR08	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	1970s	Propane	Both Shared	1	0	0	0
CR08	1970s	Propane	Neither Shared	1	0	14	80302.32341
CR08	1970s	Propane	Only Cooling Shared	1	0	0	0
CR08	1970s	Propane	Only Heating Shared	1	0	0	0
CR08	1980s	Electricity	Both Shared	1	0	1	6118.035522
CR08	1980s	Electricity	Neither Shared	0.460370374	0.539629626	137	1296953.933
CR08	1980s	Electricity	Only Cooling Shared	1	0	4	24225.57155
CR08	1980s	Electricity	Only Heating Shared	1	0	0	0
CR08	1980s	Fuel Oil	Both Shared	1	0	0	0
CR08	1980s	Fuel Oil	Neither Shared	1	0	1	12755.82536
CR08	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR08	1980s	Natural Gas	Both Shared	1	0	0	0
CR08	1980s	Natural Gas	Neither Shared	0.896628484	0.103371516	77	504616.9603
CR08	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	1980s	Natural Gas	Only Heating Shared	1	0	1	5104.172954
CR08	1980s	None	Both Shared	1	0	0	0
CR08	1980s	None	Neither Shared	1	0	0	0
CR08	1980s	None	Only Cooling Shared	1	0	0	0
CR08	1980s	None	Only Heating Shared	1	0	0	0
CR08	1980s	Other Fuel	Both Shared	1	0	0	0
CR08	1980s	Other Fuel	Neither Shared	0.542234882	0.457765118	14	107232.4871
CR08	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	1980s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	1980s	Propane	Both Shared	1	0	0	0
CR08	1980s	Propane	Neither Shared	0.894282823	0.105717177	14	91016.01369
CR08	1980s	Propane	Only Cooling Shared	1	0	0	0
CR08	1980s	Propane	Only Heating Shared	1	0	0	0
CR08	1990s	Electricity	Both Shared	1	0	1	8596.257242
CR08	1990s	Electricity	Neither Shared	0.513944842	0.486055158	134	1149231.019
CR08	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR08	1990s	Electricity	Only Heating Shared	1	0	3	29074.68079
CR08	1990s	Fuel Oil	Both Shared	1	0	0	0
CR08	1990s	Fuel Oil	Neither Shared	1	0	1	12755.82855
CR08	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR08	1990s	Natural Gas	Both Shared	1	0	1	8657.426039
CR08	1990s	Natural Gas	Neither Shared	0.725558739	0.274441261	121	958729.9852
CR08	1990s	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	1990s	Natural Gas	Only Heating Shared	1	0	1	14774.72254
CR08	1990s	None	Both Shared	1	0	0	0
CR08	1990s	None	Neither Shared	1	0	0	0
CR08	1990s	None	Only Cooling Shared	1	0	0	0
CR08	1990s	None	Only Heating Shared	1	0	0	0
CR08	1990s	Other Fuel	Both Shared	1	0	0	0
CR08	1990s	Other Fuel	Neither Shared	1	0	7	72617.69302
CR08	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	1990s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	1990s	Propane	Both Shared	1	0	0	0
CR08	1990s	Propane	Neither Shared	0.884856378	0.115143622	15	89542.18953
CR08	1990s	Propane	Only Cooling Shared	1	0	0	0
CR08	1990s	Propane	Only Heating Shared	1	0	0	0
CR08	2000s	Electricity	Both Shared	1	0	1	6035.845406
CR08	2000s	Electricity	Neither Shared	0.598526957	0.401473043	136	1018642.693
CR08	2000s	Electricity	Only Cooling Shared	1	0	3	26695.28925
CR08	2000s	Electricity	Only Heating Shared	1	0	2	18305.97988
CR08	2000s	Fuel Oil	Both Shared	1	0	0	0
CR08	2000s	Fuel Oil	Neither Shared	1	0	0	0
CR08	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR08	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR08	2000s	Natural Gas	Both Shared	1	0	0	0
CR08	2000s	Natural Gas	Neither Shared	0.744323534	0.255676466	117	798241.1396
CR08	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR08	2000s	Natural Gas	Only Heating Shared	1	0	1	9433.478524
CR08	2000s	None	Both Shared	1	0	0	0
CR08	2000s	None	Neither Shared	1	0	0	0
CR08	2000s	None	Only Cooling Shared	1	0	0	0
CR08	2000s	None	Only Heating Shared	1	0	0	0
CR08	2000s	Other Fuel	Both Shared	1	0	0	0
CR08	2000s	Other Fuel	Neither Shared	1	0	6	19363.06024
CR08	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR08	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR08	2000s	Propane	Both Shared	1	0	1	13971.39481
CR08	2000s	Propane	Neither Shared	0.70261492	0.29738508	12	76253.57076
CR08	2000s	Propane	Only Cooling Shared	1	0	0	0
CR08	2000s	Propane	Only Heating Shared	1	0	0	0
CR09	<1950	Electricity	Both Shared	1	0	2	15745.27493
CR09	<1950	Electricity	Neither Shared	0.660913984	0.339086016	91	835533.394
CR09	<1950	Electricity	Only Cooling Shared	1	0	1	15901.39741
CR09	<1950	Electricity	Only Heating Shared	1	0	3	35574.28629
CR09	<1950	Fuel Oil	Both Shared	1	0	0	0
CR09	<1950	Fuel Oil	Neither Shared	1	0	1	15899.78053
CR09	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	<1950	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	<1950	Natural Gas	Both Shared	1	0	1	11629.98616
CR09	<1950	Natural Gas	Neither Shared	0.943781034	0.056218966	111	1244143.345
CR09	<1950	Natural Gas	Only Cooling Shared	1	0	0	0
CR09	<1950	Natural Gas	Only Heating Shared	1	0	3	38991.55112
CR09	<1950	None	Both Shared	1	0	0	0
CR09	<1950	None	Neither Shared	0.942699027	0.057300973	15	105192.7814
CR09	<1950	None	Only Cooling Shared	1	0	0	0
CR09	<1950	None	Only Heating Shared	1	0	0	0
CR09	<1950	Other Fuel	Both Shared	1	0	0	0
CR09	<1950	Other Fuel	Neither Shared	1	0	6	69239.44438
CR09	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	<1950	Other Fuel	Only Heating Shared	1	0	2	22957.35307
CR09	<1950	Propane	Both Shared	1	0	0	0
CR09	<1950	Propane	Neither Shared	0.970765316	0.029234684	21	247626.4051
CR09	<1950	Propane	Only Cooling Shared	1	0	0	0
CR09	<1950	Propane	Only Heating Shared	1	0	0	0
CR09	1950s	Electricity	Both Shared	1	0	0	0
CR09	1950s	Electricity	Neither Shared	0.748703182	0.251296818	143	1251702.028
CR09	1950s	Electricity	Only Cooling Shared	1	0	1	6344.824233
CR09	1950s	Electricity	Only Heating Shared	1	0	1	6125.200192
CR09	1950s	Fuel Oil	Both Shared	1	0	0	0
CR09	1950s	Fuel Oil	Neither Shared	0.557005112	0.442994888	2	27838.34002
CR09	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	1950s	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	1950s	Natural Gas	Both Shared	1	0	0	0
CR09	1950s	Natural Gas	Neither Shared	0.97678319	0.02321681	119	1276027.947
CR09	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR09	1950s	Natural Gas	Only Heating Shared	1	0	1	7748.173436
CR09	1950s	None	Both Shared	1	0	0	0
CR09	1950s	None	Neither Shared	1	0	15	100041.5412
CR09	1950s	None	Only Cooling Shared	1	0	0	0
CR09	1950s	None	Only Heating Shared	1	0	0	0
CR09	1950s	Other Fuel	Both Shared	1	0	0	0
CR09	1950s	Other Fuel	Neither Shared	1	0	6	87145.31843
CR09	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR09	1950s	Propane	Both Shared	1	0	0	0
CR09	1950s	Propane	Neither Shared	1	0	9	103705.2239
CR09	1950s	Propane	Only Cooling Shared	1	0	0	0
CR09	1950s	Propane	Only Heating Shared	1	0	0	0
CR09	1960s	Electricity	Both Shared	1	0	5	41907.9241
CR09	1960s	Electricity	Neither Shared	0.732649388	0.267350612	176	1582376.842
CR09	1960s	Electricity	Only Cooling Shared	1	0	5	41477.88637
CR09	1960s	Electricity	Only Heating Shared	1	0	2	15428.06027
CR09	1960s	Fuel Oil	Both Shared	1	0	0	0
CR09	1960s	Fuel Oil	Neither Shared	1	0	1	19013.57258
CR09	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	1960s	Natural Gas	Both Shared	1	0	6	56603.73937
CR09	1960s	Natural Gas	Neither Shared	0.968749299	0.031250701	118	1350934.472
CR09	1960s	Natural Gas	Only Cooling Shared	1	0	0	0
CR09	1960s	Natural Gas	Only Heating Shared	1	0	2	15897.60799
CR09	1960s	None	Both Shared	1	0	0	0
CR09	1960s	None	Neither Shared	1	0	16	131129.5345
CR09	1960s	None	Only Cooling Shared	1	0	0	0
CR09	1960s	None	Only Heating Shared	1	0	0	0
CR09	1960s	Other Fuel	Both Shared	1	0	0	0
CR09	1960s	Other Fuel	Neither Shared	0.901413458	0.098586542	6	77450.65398
CR09	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR09	1960s	Propane	Both Shared	1	0	0	0
CR09	1960s	Propane	Neither Shared	1	0	11	153189.7352
CR09	1960s	Propane	Only Cooling Shared	1	0	0	0
CR09	1960s	Propane	Only Heating Shared	1	0	0	0
CR09	1970s	Electricity	Both Shared	1	0	9	80090.08191
CR09	1970s	Electricity	Neither Shared	0.674771356	0.325228644	314	2991782.743
CR09	1970s	Electricity	Only Cooling Shared	1	0	9	72231.51833
CR09	1970s	Electricity	Only Heating Shared	1	0	6	56577.50825
CR09	1970s	Fuel Oil	Both Shared	1	0	0	0
CR09	1970s	Fuel Oil	Neither Shared	1	0	1	8367.33158
CR09	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	1970s	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	1970s	Natural Gas	Both Shared	1	0	1	7607.148155
CR09	1970s	Natural Gas	Neither Shared	0.983009731	0.016990269	147	1506209.476
CR09	1970s	Natural Gas	Only Cooling Shared	1	0	3	27827.7773
CR09	1970s	Natural Gas	Only Heating Shared	1	0	2	18597.71197
CR09	1970s	None	Both Shared	1	0	0	0
CR09	1970s	None	Neither Shared	0.954495798	0.045504202	21	165224.9557
CR09	1970s	None	Only Cooling Shared	1	0	2	12283.53053
CR09	1970s	None	Only Heating Shared	1	0	0	0
CR09	1970s	Other Fuel	Both Shared	1	0	0	0
CR09	1970s	Other Fuel	Neither Shared	0.846566874	0.153433126	8	79642.61264
CR09	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR09	1970s	Propane	Both Shared	1	0	0	0
CR09	1970s	Propane	Neither Shared	0.90973194	0.09026806	20	303757.504
CR09	1970s	Propane	Only Cooling Shared	1	0	0	0
CR09	1970s	Propane	Only Heating Shared	1	0	0	0
CR09	1980s	Electricity	Both Shared	1	0	6	48404.88393
CR09	1980s	Electricity	Neither Shared	0.728850708	0.271149292	401	3771936.933
CR09	1980s	Electricity	Only Cooling Shared	1	0	4	26751.47055
CR09	1980s	Electricity	Only Heating Shared	1	0	7	86090.4373
CR09	1980s	Fuel Oil	Both Shared	1	0	0	0
CR09	1980s	Fuel Oil	Neither Shared	1	0	1	19110.59931
CR09	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	1980s	Natural Gas	Both Shared	1	0	1	8378.152426
CR09	1980s	Natural Gas	Neither Shared	0.960298039	0.039701961	134	1311606.561
CR09	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR09	1980s	Natural Gas	Only Heating Shared	1	0	0	0
CR09	1980s	None	Both Shared	1	0	0	0
CR09	1980s	None	Neither Shared	0.943672025	0.056327975	25	205809.7942
CR09	1980s	None	Only Cooling Shared	1	0	1	9129.747109
CR09	1980s	None	Only Heating Shared	1	0	0	0
CR09	1980s	Other Fuel	Both Shared	1	0	0	0
CR09	1980s	Other Fuel	Neither Shared	0.954045717	0.045954283	7	140427.849
CR09	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	1980s	Other Fuel	Only Heating Shared	1	0	0	0
CR09	1980s	Propane	Both Shared	1	0	0	0
CR09	1980s	Propane	Neither Shared	0.960782865	0.039217135	21	307405.0524
CR09	1980s	Propane	Only Cooling Shared	1	0	0	0
CR09	1980s	Propane	Only Heating Shared	1	0	1	14208.48005
CR09	1990s	Electricity	Both Shared	1	0	1	7851.731658
CR09	1990s	Electricity	Neither Shared	0.633847919	0.366152081	395	4172483.026
CR09	1990s	Electricity	Only Cooling Shared	1	0	3	27144.10046
CR09	1990s	Electricity	Only Heating Shared	1	0	1	7706.006876
CR09	1990s	Fuel Oil	Both Shared	1	0	0	0
CR09	1990s	Fuel Oil	Neither Shared	1	0	0	0
CR09	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR09	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR09	1990s	Natural Gas	Both Shared	1	0	0	0
CR09	1990s	Natural Gas	Neither Shared	0.9506174	0.0493826	143	1436725.286
CR09	1990s	Natural Gas	Only Cooling Shared	1	0	1	7535.950837
CR09	1990s	Natural Gas	Only Heating Shared	1	0	1	6861.287289
CR09	1990s	None	Both Shared	1	0	0	0
CR09	1990s	None	Neither Shared	1	0	15	104543.0418
CR09	1990s	None	Only Cooling Shared	1	0	1	6027.648709
CR09	1990s	None	Only Heating Shared	1	0	0	0
CR09	1990s	Other Fuel	Both Shared	1	0	0	0
CR09	1990s	Other Fuel	Neither Shared	0.783823821	0.216176179	6	72266.70578
CR09	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR09	1990s	Other Fuel	Only Heating Shared	1	0	1	15506.09826
CR09	1990s	Propane	Both Shared	1	0	0	0
CR09	1990s	Propane	Neither Shared	0.923932186	0.076067814	23	304504.959
