Building,Location Weather Year,Usage Level,Geometry Single Unit Level,Geometry Single Unit Horizontal Location,Geometry Single Unit Has Rear Units,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Geometry Nearest Neighbor LeftRight,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Insulation Unfinished Attic,Insulation Finished Roof,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Is Heatpump,HVAC System Heatpump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,HVAC System Shared,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
46,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,MN_Minneapolis-St.Paul.Intl.AP.726580,CR02,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,15,None,None,N/a,1,True,LeftRight,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-49, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,67F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour13,None,Day78,0.13
47,TMY3,High,Top,Right,TRUE,10 to 19 Unit,TX_Austin-Mueller.Muni.AP.722540,CR09,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,15,None,None,N/a,1,True,LeftRight,None,12,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,70F,75F,National Average,None,EF 10.5,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,Day2,0.13
48,TMY3,High,Top,Right,TRUE,10 to 19 Unit,GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190,CR09,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,2000-09s,2000s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-13,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,200%,"Uninsulated, HomeRun, PEX",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,74F,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-6",10 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour18,None,Day98,0.13
49,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1940-59s,1950s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,Left,None,4,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,None,None,PTACs with boiler HW,70F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour14,None,Day59,0.13
50,TMY3,High,Top,Right,TRUE,10 to 19 Unit,IL_Chicago-OHare.Intl.AP.725300,CR04,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,LeftRight,None,27,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour9,None,Day26,0.13
51,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1980-99s,1980s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,2,True,LeftRight,None,7,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour12,None,Day37,0.13
52,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,LeftBack,None,27,Auto,Northwest,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,70F,72F,National Average,None,EF 10.2,"Gas, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour10,None,Day11,0.13
53,TMY3,High,Top,Right,TRUE,10 to 19 Unit,PA_Philadelphia.Intl.AP.724080,CR07,USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour14,None,Day65,0.13
54,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,FL_West.Palm.Beach.Intl.AP.722030,CR09,USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-7, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,70F,76F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour16,None,Day96,0.13
55,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NJ_Newark.Intl.AP.725020,CR07,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,1940-59s,1950s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,16,None,None,N/a,1,True,Left,None,7,Auto,Northwest,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour9,None,Day83,0.13
56,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CO_Boulder-Broomfield-Jefferson.County.AP.724699,CR05,USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-19",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,72F,National Average,None,EF 10.2,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour15,None,Day55,0.13
57,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,2000-09s,2000s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,27,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium","2ft R10 Perimeter, R10 Gap",None,None,None,None,R-13,"Wood Stud, R-11",1 Pane,Fiberglass,Propane Standard,50%,"Uninsulated, HomeRun, PEX",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,75F,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-8",10 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour16,None,Day40,0.13
58,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NE_Omaha-Eppley.Airfield.725500,CR08,USA_NE_Omaha-Eppley.Airfield.725500_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,Left,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour21,None,Day27,0.13
59,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,FL_Orlando.Intl.AP.722050,CR09,USA_FL_Orlando.Intl.AP.722050_TMY3.epw,2000-09s,2000s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,Left,None,7,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,50%,"Uninsulated, HomeRun, PEX",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,70F,75F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-8",10 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour18,None,Day86,0.13
60,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,AZ_Phoenix-Sky.Harbor.Intl.AP.722780,CR10,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,77F,National Average,None,EF 10.5,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour13,None,Day42,0.13
61,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,OH_Cleveland-Hopkins.Intl.AP.725240,CR04,USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftBack,None,4,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 10.5,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour18,None,Day87,0.13
62,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,TX_San.Antonio.Intl.AP.722530,CR09,USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,Left,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,75F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour17,None,Day24,0.13
63,TMY3,High,Top,Right,TRUE,10 to 19 Unit,NJ_Newark.Intl.AP.725020,CR07,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,15,None,None,N/a,1,True,LeftRight,None,27,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",R-30,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% CFL,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour14,None,Day57,0.13
64,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,AZ_Phoenix-Sky.Harbor.Intl.AP.722780,CR10,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,12,None,None,N/a,1,True,Left,None,4,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,77F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour11,None,Day64,0.13
65,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,AL_Birmingham.Muni.AP.722280,CR09,USA_AL_Birmingham.Muni.AP.722280_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,74F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour16,None,Day95,0.13
66,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,OH_Columbus-Port.Columbus.Intl.AP.724280,CR04,USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour19,None,Day14,0.13
67,TMY3,High,Top,Right,TRUE,10 to 19 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,Left,LeftBack,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,70F,72F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour16,None,Day47,0.13
68,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NC_Greensboro-Piedmont.Triad.Intl.AP.723170,CR09,USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,12,None,None,N/a,2,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Ceiling R-13, Vented",None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,None,69F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour8,Hour5,None,Day41,0.13
