Dependency=Area Median Income	Dependency=County Metro Status	Dependency=State	Option=0-30%	Option=30-60%	Option=60-80%	Option=80-100%	Option=100-120%	Option=120-150%	Option=150%+	Option=Not Available	source_count	source_weight	sampling_probability
0-30%	Nonmetro	OH	0.872671	0.127329	0	0	0	0	0	0	6658	117412	0.000173552
100-120%	Nonmetro	OH	0	0	0	0.0156232	0.855459	0.128917	0	0	5429	85706	0.0001267
120-150%	Nonmetro	OH	0	0	0	0	0.0184705	0.876262	0.105267	0	6826	107631	0.000154195
150%+	Nonmetro	OH	0	0	0	0	0	0.00675368	0.993246	0	13832	223878	0.000313868
30-60%	Nonmetro	OH	0.00200737	0.95181	0.046183	0	0	0	0	0	9298	148951	0.000218543
60-80%	Nonmetro	OH	0	0.0139302	0.890795	0.095275	0	0	0	0	6802	109546	0.000160352
80-100%	Nonmetro	OH	0	0	0.0125466	0.866305	0.121148	0	0	0	6290	98194	0.000141082
Not Available	Nonmetro	OH	0	0	0	0	0	0	0	1	4527	125043	0.000176863
0-30%	Metro	OK	0.88294	0.11706	0	0	0	0	0	0	4033	108705	0.00141338
100-120%	Metro	OK	0	0	0	0.0236871	0.827129	0.149184	0	0	2794	73922	0.00082266
120-150%	Metro	OK	0	0	0	0	0.0113639	0.857036	0.131601	0	3384	87910	0.000985587
150%+	Metro	OK	0	0	0	0	0	0.00417765	0.995822	0	9045	230752	0.00250712
30-60%	Metro	OK	0.000940979	0.920603	0.0784559	0	0	0	0	0	5064	138154	0.00151208
60-80%	Metro	OK	0	0.00802586	0.885197	0.106777	0	0	0	0	3473	90956	0.00105836
80-100%	Metro	OK	0	0	0.00983976	0.838534	0.151627	0	0	0	3139	82624	0.000942568
Not Available	Metro	OK	0	0	0	0	0	0	0	1	3067	92963	0.00143286
0-30%	Nonmetro	OK	0.727532	0.272468	0	0	0	0	0	0	6714	105928	0.000272853
100-120%	Nonmetro	OK	0	0	0	0.00723521	0.608738	0.384026	0	0	3645	57082	0.000134535
120-150%	Nonmetro	OK	0	0	0	0	0.00794253	0.70205	0.290008	0	4444	71136	0.000168861
150%+	Nonmetro	OK	0	0	0	0	0	0.0019813	0.998019	0	10681	180185	0.000400668
30-60%	Nonmetro	OK	0	0.852472	0.147528	0	0	0	0	0	7194	109925	0.000259902
60-80%	Nonmetro	OK	0	0.00417086	0.742158	0.253671	0	0	0	0	4818	74565	0.000182709
80-100%	Nonmetro	OK	0	0	0.00447063	0.694062	0.30006	0.00140715	0	0	4283	68223	0.000166673
Not Available	Nonmetro	OK	0	0	0	0	0	0	0	1	10815	158602	0.000416521
0-30%	Metro	OR	0.920449	0.0795515	0	0	0	0	0	0	7095	163831	0.00148025
100-120%	Metro	OR	0	0	0.0112619	0.308524	0.381044	0.29917	0	0	6157	125290	0.00103333
120-150%	Metro	OR	0	0	0	0.0337944	0.247291	0.49192	0.226995	0	7692	152096	0.00124802
150%+	Metro	OR	0	0	0	0	0.00345041	0.100643	0.895906	0	20619	393866	0.00330213
30-60%	Metro	OR	0.0471863	0.846799	0.106015	0	0	0	0	0	9760	212244	0.00174718
60-80%	Metro	OR	0	0.226227	0.579948	0.193825	0	0	0	0	7165	148815	0.00128965
80-100%	Metro	OR	0	0	0.268743	0.470767	0.26049	0	0	0	6605	135583	0.00115622
Not Available	Metro	OR	0	0	0	0	0	0	0	1	2592	95771	0.00104842
0-30%	Nonmetro	OR	0.752107	0.247893	0	0	0	0	0	0	2085	36314	4.36639e-05
100-120%	Nonmetro	OR	0	0	0	0	0.713305	0.286695	0	0	1659	26516	3.13109e-05
120-150%	Nonmetro	OR	0	0	0	0	0	0.768976	0.231024	0	1925	29932	3.71274e-05
150%+	Nonmetro	OR	0	0	0	0	0	0	1	0	5414	83812	0.000102942
30-60%	Nonmetro	OR	0	0.866328	0.133672	0	0	0	0	0	2769	44250	5.29395e-05
60-80%	Nonmetro	OR	0	0	0.809782	0.190218	0	0	0	0	1953	31017	3.77461e-05
80-100%	Nonmetro	OR	0	0	0	0.768673	0.231327	0	0	0	1806	28410	3.4995e-05
Not Available	Nonmetro	OR	0	0	0	0	0	0	0	1	2874	61154	8.23323e-05
0-30%	Metro	PA	0.921735	0.0782654	0	0	0	0	0	0	23465	605606	0.00508423
100-120%	Metro	PA	0	0	0	0.162172	0.585509	0.252319	0	0	18416	393632	0.00324297
120-150%	Metro	PA	0	0	0	0.00337558	0.139851	0.654466	0.202307	0	22443	469549	0.00391483
150%+	Metro	PA	0	0	0	0	0	0.051438	0.948562	0	58248	1.2113e+06	0.009991
30-60%	Metro	PA	0.0262982	0.882607	0.0910948	0	0	0	0	0	32273	738110	0.00596798
60-80%	Metro	PA	0	0.1048	0.727623	0.167577	0	0	0	0	21563	476013	0.00393974
80-100%	Metro	PA	0	0	0.129374	0.657474	0.213153	0	0	0	20397	440778	0.00363981
Not Available	Metro	PA	0	0	0	0	0	0	0	1	12412	450457	0.00424241
0-30%	Nonmetro	PA	0.827547	0.172453	0	0	0	0	0	0	6655	90529	0.000165639
100-120%	Nonmetro	PA	0	0	0	0	0.836241	0.163759	0	0	5961	68326	0.000119745
120-150%	Nonmetro	PA	0	0	0	0	0	0.870598	0.129402	0	7341	83376	0.000140065
150%+	Nonmetro	PA	0	0	0	0	0	0	1	0	16599	190230	0.000313698
30-60%	Nonmetro	PA	0	0.939303	0.060697	0	0	0	0	0	10165	125344	0.000217902
60-80%	Nonmetro	PA	0	0	0.899802	0.100198	0	0	0	0	7295	85291	0.000146631
80-100%	Nonmetro	PA	0	0	0	0.865209	0.134791	0	0	0	6663	75020	0.000132554
Not Available	Nonmetro	PA	0	0	0	0	0	0	0	1	13655	189750	0.000456247
0-30%	Metro	RI	0.981333	0.0186667	0	0	0	0	0	0	2825	63107	0.000461046
100-120%	Metro	RI	0	0	0	0.0420638	0.900226	0.0577103	0	0	1933	36302	0.000258306
120-150%	Metro	RI	0	0	0	0	0.0293111	0.928191	0.0424979	0	2515	47320	0.000348356
150%+	Metro	RI	0	0	0	0	0	0.015032	0.984968	0	6721	117749	0.000873622
30-60%	Metro	RI	0.00709611	0.981693	0.0112107	0	0	0	0	0	3276	67079	0.000484085
60-80%	Metro	RI	0	0.0230175	0.952384	0.0245981	0	0	0	0	2086	40491	0.000304849
80-100%	Metro	RI	0	0	0.0405036	0.921828	0.0376681	0	0	0	1976	38441	0.000295898
Not Available	Metro	RI	0	0	0	0	0	0	0	1	1997	57846	0.000425077
0-30%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
100-120%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
120-150%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
150%+	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
30-60%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
60-80%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
80-100%	Nonmetro	RI	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
Not Available	Nonmetro	RI	0	0	0	0	0	0	0	1	0	0	0
0-30%	Metro	SC	0.871071	0.128929	0	0	0	0	0	0	9478	197070	0.00188656
100-120%	Metro	SC	0	0	0	0.231098	0.502203	0.266699	0	0	6828	133229	0.00112391
120-150%	Metro	SC	0	0	0	0	0.193573	0.590735	0.215692	0	8653	166738	0.00140458
150%+	Metro	SC	0	0	0	0	0	0.0677605	0.93224	0	24004	436213	0.00370148
30-60%	Metro	SC	0.0226827	0.873939	0.103379	0	0	0	0	0	11611	233085	0.001971
60-80%	Metro	SC	0	0.134773	0.687771	0.177456	0	0	0	0	8403	164706	0.00144622
80-100%	Metro	SC	0	0	0.186389	0.593667	0.219943	0	0	0	7742	154408	0.00133579
Not Available	Metro	SC	0	0	0	0	0	0	0	1	8976	266569	0.00238867
0-30%	Nonmetro	SC	0.683295	0.316705	0	0	0	0	0	0	4199	82913	0.000180931
100-120%	Nonmetro	SC	0	0	0	0	0.699422	0.293806	0.00677201	0	1973	34111	6.87996e-05
120-150%	Nonmetro	SC	0	0	0	0	0	0.725438	0.274562	0	2530	44052	8.76217e-05
150%+	Nonmetro	SC	0	0	0	0	0	0	1	0	7186	119830	0.000228905
30-60%	Nonmetro	SC	0	0.847461	0.152539	0	0	0	0	0	3417	61499	0.000123817
60-80%	Nonmetro	SC	0	0	0.754978	0.237357	0.00766577	0	0	0	2689	49571	9.16755e-05
80-100%	Nonmetro	SC	0	0	0	0.701035	0.246535	0.0524302	0	0	2438	44440	8.83727e-05
Not Available	Nonmetro	SC	0	0	0	0	0	0	0	1	3880	98392	0.000223471
0-30%	Metro	SD	0.895938	0.104062	0	0	0	0	0	0	226	9158	0.00022602
100-120%	Metro	SD	0	0	0	0	0.574878	0.425122	0	0	254	7786	0.000182513
120-150%	Metro	SD	0	0	0	0	0	0.62116	0.37884	0	236	7779	0.000217242
150%+	Metro	SD	0	0	0	0	0	0	1	0	405	13414	0.000431917
30-60%	Metro	SD	0	0.846532	0.153468	0	0	0	0	0	399	15039	0.000334287
60-80%	Metro	SD	0	0	0.776923	0.223077	0	0	0	0	259	9490	0.000229358
80-100%	Metro	SD	0	0	0	0.651421	0.348579	0	0	0	261	8833	0.000210138
Not Available	Metro	SD	0	0	0	0	0	0	0	1	68	4492	0.000220274
0-30%	Nonmetro	SD	0.887567	0.112433	0	0	0	0	0	0	1916	33949	8.9817e-05
100-120%	Nonmetro	SD	0	0	0	0	0.779508	0.220492	0	0	1576	26518	5.9524e-05
120-150%	Nonmetro	SD	0	0	0	0	0	0.806651	0.193349	0	1947	33711	7.166e-05
150%+	Nonmetro	SD	0	0	0	0	0	0	1	0	3725	67355	0.000141921
30-60%	Nonmetro	SD	0	0.910663	0.0893367	0	0	0	0	0	2619	47640	0.000115933
60-80%	Nonmetro	SD	0	0	0.836883	0.163117	0	0	0	0	1875	32302	7.93966e-05
80-100%	Nonmetro	SD	0	0	0	0.77373	0.22627	0	0	0	1810	31427	7.01259e-05
Not Available	Nonmetro	SD	0	0	0	0	0	0	0	1	1989	43322	0.000123685
0-30%	Metro	TN	0.873441	0.126559	0	0	0	0	0	0	9824	220735	0.00242176
100-120%	Metro	TN	0	0	0.00507334	0.167842	0.483038	0.344047	0	0	7233	144678	0.00151328
120-150%	Metro	TN	0	0	0	0.0278074	0.142619	0.566528	0.263045	0	8825	177255	0.00187383
150%+	Metro	TN	0	0	0	0	0.00120423	0.0572923	0.941503	0	25440	475823	0.00489617
30-60%	Metro	TN	0.0192675	0.868216	0.112516	0	0	0	0	0	11736	249280	0.00250464
60-80%	Metro	TN	0	0.126749	0.64678	0.226471	0	0	0	0	8549	180191	0.00188057
80-100%	Metro	TN	0	0	0.163924	0.546337	0.289739	0	0	0	8015	169066	0.00178761
Not Available	Metro	TN	0	0	0	0	0	0	0	1	5594	184631	0.00227451
0-30%	Nonmetro	TN	0.65732	0.34268	0	0	0	0	0	0	8262	151538	0.000328502
100-120%	Nonmetro	TN	0	0	0	0	0.633939	0.366061	0	0	5134	89119	0.000163716
120-150%	Nonmetro	TN	0	0	0	0	0	0.686019	0.313981	0	6367	112064	0.000211652
150%+	Nonmetro	TN	0	0	0	0	0	0	1	0	16705	283181	0.000516725
30-60%	Nonmetro	TN	0	0.837831	0.162169	0	0	0	0	0	7694	133577	0.000271099
60-80%	Nonmetro	TN	0	0	0.746898	0.253102	0	0	0	0	6368	111785	0.000211778
80-100%	Nonmetro	TN	0	0	0	0.695213	0.304787	0	0	0	5793	99007	0.000190668
Not Available	Nonmetro	TN	0	0	0	0	0	0	0	1	6376	181556	0.000388532
0-30%	Metro	TX	0.863885	0.136115	0	0	0	0	0	0	50741	1.12631e+06	0.0090898
100-120%	Metro	TX	0	0	0	0.169873	0.487102	0.324262	0.0187636	0	34147	712603	0.00562592
120-150%	Metro	TX	0	0	0	0.0162867	0.141885	0.551201	0.290628	0	42060	853214	0.00677301
150%+	Metro	TX	0	0	0	0	0	0.0484952	0.951505	0	129977	2.48047e+06	0.0194195
30-60%	Metro	TX	0.0196328	0.841213	0.139154	0	0	0	0	0	59408	1.29752e+06	0.0102715
60-80%	Metro	TX	0	0.122462	0.618836	0.244949	0.0137521	0	0	0	41655	900227	0.00731451
80-100%	Metro	TX	0	0	0.154375	0.526827	0.280374	0.0384244	0	0	38288	808653	0.00653271
Not Available	Metro	TX	0	0	0	0	0	0	0	1	26816	836779	0.00779578
0-30%	Nonmetro	TX	0.731771	0.268229	0	0	0	0	0	0	14047	233439	0.000616443
100-120%	Nonmetro	TX	0	0	0	0	0.629981	0.337489	0.0325306	0	8817	127142	0.000330529
120-150%	Nonmetro	TX	0	0	0	0	0	0.697048	0.302952	0	10796	156619	0.000413782
150%+	Nonmetro	TX	0	0	0	0	0	0	1	0	30504	432772	0.00107616
30-60%	Nonmetro	TX	0	0.837941	0.154888	0.007171	0	0	0	0	15833	237345	0.000637785
60-80%	Nonmetro	TX	0	0	0.73488	0.237203	0.0279172	0	0	0	11238	171794	0.000439204
80-100%	Nonmetro	TX	0	0	0	0.676435	0.282581	0.0409838	0	0	10304	153524	0.00040504
Not Available	Nonmetro	TX	0	0	0	0	0	0	0	1	21955	408610	0.00114908
0-30%	Metro	UT	0.915291	0.0847094	0	0	0	0	0	0	3428	81089	0.000646064
100-120%	Metro	UT	0	0	0	0.094459	0.762848	0.142693	0	0	4329	90579	0.000666248
120-150%	Metro	UT	0	0	0	0	0.0892382	0.803125	0.107637	0	5118	105168	0.000832407
150%+	Metro	UT	0	0	0	0	0	0.0283832	0.971617	0	11302	222773	0.00189796
30-60%	Metro	UT	0.00770099	0.935403	0.0568964	0	0	0	0	0	5496	123101	0.000930607
60-80%	Metro	UT	0	0.0627503	0.829283	0.107966	0	0	0	0	4663	101115	0.000750512
80-100%	Metro	UT	0	0	0.0717204	0.798988	0.129292	0	0	0	4714	100362	0.000759444
Not Available	Metro	UT	0	0	0	0	0	0	0	1	1483	57268	0.000645609
0-30%	Nonmetro	UT	0.786852	0.213148	0	0	0	0	0	0	1248	20338	4.97867e-05
100-120%	Nonmetro	UT	0	0	0	0	0.519509	0.480491	0	0	1138	15634	3.69228e-05
120-150%	Nonmetro	UT	0	0	0	0	0	0.572921	0.427079	0	1267	17416	4.58836e-05
150%+	Nonmetro	UT	0	0	0	0	0	0	1	0	2550	35255	9.6097e-05
30-60%	Nonmetro	UT	0	0.814796	0.185204	0	0	0	0	0	1789	27224	6.319e-05
60-80%	Nonmetro	UT	0	0	0.723964	0.276036	0	0	0	0	1243	16871	4.66827e-05
80-100%	Nonmetro	UT	0	0	0	0.583951	0.365527	0.0505224	0	0	1362	20387	4.18982e-05
Not Available	Nonmetro	UT	0	0	0	0	0	0	0	1	3064	52532	0.00012968
0-30%	Metro	VA	0.900711	0.0992885	0	0	0	0	0	0	11704	259184	0.00249261
100-120%	Metro	VA	0	0	0.0543084	0.447472	0.0907659	0.360539	0.0469147	0	11464	220997	0.00194101
120-150%	Metro	VA	0	0	0	0.0652181	0.360647	0.158384	0.415751	0	14366	270109	0.00238277
150%+	Metro	VA	0	0	0	0	0.0156624	0.136929	0.847408	0	40288	715406	0.0062047
30-60%	Metro	VA	0.116906	0.777515	0.105579	0	0	0	0	0	14749	316219	0.00296205
60-80%	Metro	VA	0	0.43821	0.530716	0.0310735	0	0	0	0	9420	197371	0.00191076
80-100%	Metro	VA	0	0.00897816	0.322764	0.355798	0.225514	0.0869454	0	0	15822	313093	0.00278655
Not Available	Metro	VA	0	0	0	0	0	0	0	1	5237	182711	0.00205775
0-30%	Nonmetro	VA	0.686205	0.313795	0	0	0	0	0	0	6202	122717	0.000364353
100-120%	Nonmetro	VA	0	0	0	0.0047537	0.359458	0.350214	0.285574	0	4331	79517	0.000212325
120-150%	Nonmetro	VA	0	0	0	0	0.00486341	0.416912	0.578224	0	5359	97668	0.00026174
150%+	Nonmetro	VA	0	0	0	0	0	0.00261891	0.997381	0	13095	227957	0.000618015
30-60%	Nonmetro	VA	0	0.644664	0.252774	0.0863337	0.0162283	0	0	0	7401	138092	0.000388729
60-80%	Nonmetro	VA	0	0.00314503	0.485601	0.314878	0.165871	0.0305057	0	0	5020	93163	0.000249296
80-100%	Nonmetro	VA	0	0	0.00761503	0.373167	0.252994	0.23918	0.127044	0	5421	99540	0.00025974
Not Available	Nonmetro	VA	0	0	0	0	0	0	0	1	5861	180288	0.000608633
0-30%	Metro	VT	0.991514	0.00848608	0	0	0	0	0	0	343	11784	0.000186922
100-120%	Metro	VT	0	0	0	0	1	0	0	0	332	8627	0.000129213
120-150%	Metro	VT	0	0	0	0	0	1	0	0	413	10536	0.000163615
150%+	Metro	VT	0	0	0	0	0	0	1	0	848	22029	0.000353094
30-60%	Metro	VT	0	0.999303	0.000696816	0	0	0	0	0	502	14351	0.000242808
60-80%	Metro	VT	0	0	0.996981	0.00301921	0	0	0	0	368	10930	0.000163212
80-100%	Metro	VT	0	0	0	1	0	0	0	0	365	9422	0.000148553
Not Available	Metro	VT	0	0	0	0	0	0	0	1	311	9907	0.000357109
0-30%	Nonmetro	VT	0.93279	0.0672097	0	0	0	0	0	0	1145	21485	6.75562e-05
100-120%	Nonmetro	VT	0	0	0	0	0.9106	0.0894001	0	0	1004	16387	4.69837e-05
120-150%	Nonmetro	VT	0	0	0	0	0	0.920955	0.0790453	0	1237	20153	5.98454e-05
150%+	Nonmetro	VT	0	0	0	0	0	0	1	0	2898	44571	0.00012537
30-60%	Nonmetro	VT	0	0.961853	0.0381465	0	0	0	0	0	1775	32113	9.19542e-05
60-80%	Nonmetro	VT	0	0	0.933993	0.0660069	0	0	0	0	1139	19301	5.87984e-05
80-100%	Nonmetro	VT	0	0	0	0.910296	0.0897044	0	0	0	1087	18338	5.35465e-05
Not Available	Nonmetro	VT	0	0	0	0	0	0	0	1	2918	65065	0.00018931
0-30%	Metro	WA	0.879293	0.120707	0	0	0	0	0	0	12413	285245	0.00245058
100-120%	Metro	WA	0	0	0.0210254	0.28729	0.218948	0.472736	0	0	11237	233384	0.00186537
120-150%	Metro	WA	0	0	0	0.0472915	0.237508	0.257098	0.458102	0	13808	279014	0.0022626
150%+	Metro	WA	0	0	0	0	0.00656884	0.100494	0.892937	0	35556	698297	0.00557694
30-60%	Metro	WA	0.0535618	0.740789	0.205649	0	0	0	0	0	17374	385312	0.00307947
60-80%	Metro	WA	0	0.213481	0.412787	0.373732	0	0	0	0	13005	279430	0.00232575
80-100%	Metro	WA	0	0.00524312	0.266874	0.272854	0.377856	0.0771726	0	0	12533	264537	0.00215261
Not Available	Metro	WA	0	0	0	0	0	0	0	1	4600	165411	0.00172142
0-30%	Nonmetro	WA	0.847819	0.152181	0	0	0	0	0	0	3677	57057	8.24192e-05
100-120%	Nonmetro	WA	0	0	0	0	0.644611	0.355389	0	0	2764	39309	5.24527e-05
120-150%	Nonmetro	WA	0	0	0	0	0	0.750531	0.249469	0	3341	47068	6.36757e-05
150%+	Nonmetro	WA	0	0	0	0	0	0	1	0	8750	119567	0.000153074
30-60%	Nonmetro	WA	0	0.882051	0.117949	0	0	0	0	0	4602	68462	9.76035e-05
60-80%	Nonmetro	WA	0	0	0.756935	0.243065	0	0	0	0	3258	47691	6.49031e-05
80-100%	Nonmetro	WA	0	0	0	0.710609	0.289391	0	0	0	3099	44020	5.96373e-05
Not Available	Nonmetro	WA	0	0	0	0	0	0	0	1	4620	92724	0.000122767
0-30%	Metro	WI	0.941355	0.058645	0	0	0	0	0	0	6243	201040	0.00187165
100-120%	Metro	WI	0	0	0	0.168188	0.673838	0.157974	0	0	6003	159393	0.00144682
120-150%	Metro	WI	0	0	0	0	0.14514	0.723107	0.131754	0	7491	194750	0.00177772
150%+	Metro	WI	0	0	0	0	0	0.0607597	0.93924	0	16586	409745	0.00374963
30-60%	Metro	WI	0.0225503	0.923571	0.0538786	0	0	0	0	0	9395	285939	0.00255291
60-80%	Metro	WI	0	0.0906608	0.81618	0.0931596	0	0	0	0	6668	189696	0.00180085
80-100%	Metro	WI	0	0	0.132106	0.727689	0.129773	0.0104323	0	0	6824	184715	0.00168353
Not Available	Metro	WI	0	0	0	0	0	0	0	1	2644	117454	0.00150286
0-30%	Nonmetro	WI	0.860849	0.139151	0	0	0	0	0	0	5840	79410	0.000303436
100-120%	Nonmetro	WI	0	0	0	0	0.733156	0.251385	0.0154594	0	6508	75100	0.000248207
120-150%	Nonmetro	WI	0	0	0	0	0	0.769398	0.230602	0	8057	95333	0.000291667
150%+	Nonmetro	WI	0	0	0	0	0	0	1	0	16419	185317	0.000569112
30-60%	Nonmetro	WI	0	0.904218	0.0957823	0	0	0	0	0	9766	124334	0.000412514
60-80%	Nonmetro	WI	0	0	0.821988	0.176685	0.00132734	0	0	0	7221	87393	0.000301997
80-100%	Nonmetro	WI	0	0	0	0.744188	0.222354	0.0334578	0	0	7245	85989	0.000281016
Not Available	Nonmetro	WI	0	0	0	0	0	0	0	1	11664	218919	0.00097103
0-30%	Metro	WV	0.883766	0.116234	0	0	0	0	0	0	1735	35635	0.0006951
100-120%	Metro	WV	0	0	0	0.033346	0.785741	0.180913	0	0	1011	18473	0.000356515
120-150%	Metro	WV	0	0	0	0	0.0177766	0.832423	0.149801	0	1231	23064	0.000442358
150%+	Metro	WV	0	0	0	0	0	0.00758523	0.992415	0	3251	59985	0.00112232
30-60%	Metro	WV	0.00025641	0.941282	0.0584615	0	0	0	0	0	2013	39000	0.00069514
60-80%	Metro	WV	0	0.0125786	0.851856	0.135565	0	0	0	0	1399	26076	0.000470099
80-100%	Metro	WV	0	0	0.0251517	0.822575	0.152273	0	0	0	1194	22742	0.000431799
Not Available	Metro	WV	0	0	0	0	0	0	0	1	1355	39342	0.000775346
0-30%	Nonmetro	WV	0.718372	0.281628	0	0	0	0	0	0	4166	85091	0.000216832
100-120%	Nonmetro	WV	0	0	0	0	0.595796	0.288577	0.115627	0	2306	43718	9.79642e-05
120-150%	Nonmetro	WV	0	0	0	0	0	0.633157	0.366843	0	2781	52412	0.000119478
150%+	Nonmetro	WV	0	0	0	0	0	0	1	0	7242	136880	0.00031154
30-60%	Nonmetro	WV	0	0.804387	0.170452	0.0251609	0	0	0	0	4060	80005	0.000190958
60-80%	Nonmetro	WV	0	0	0.679839	0.248769	0.0713925	0	0	0	2905	57471	0.000141414
80-100%	Nonmetro	WV	0	0	0	0.636456	0.212588	0.150956	0	0	2704	52035	0.00012773
Not Available	Nonmetro	WV	0	0	0	0	0	0	0	1	5180	120253	0.000405136
0-30%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000167159
100-120%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000115114
120-150%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000136788
150%+	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000274501
30-60%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.00020991
60-80%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000140154
80-100%	Metro	WY	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.000133568
Not Available	Metro	WY	0	0	0	0	0	0	0	1	0	0	0.000230801
0-30%	Nonmetro	WY	0.941243	0.0587567	0	0	0	0	0	0	1503	29937	6.57405e-05
100-120%	Nonmetro	WY	0	0	0	0	0.789661	0.210339	0	0	1207	23310	4.99681e-05
120-150%	Nonmetro	WY	0	0	0	0	0	0.796793	0.203207	0	1381	26943	5.68528e-05
150%+	Nonmetro	WY	0	0	0	0	0	0	1	0	2857	55032	0.000106764
30-60%	Nonmetro	WY	0	0.936839	0.0631612	0	0	0	0	0	2200	41687	8.79069e-05
60-80%	Nonmetro	WY	0	0	0.881427	0.118573	0	0	0	0	1386	26313	6.12646e-05
80-100%	Nonmetro	WY	0	0	0	0.83706	0.16294	0	0	0	1431	26875	5.56538e-05
Not Available	Nonmetro	WY	0	0	0	0	0	0	0	1	1793	46749	0.000106934
# Created by: sources\pums\pums2019_5yrs\tsv_maker.py
# Description: State Metro median income of the household occupying the dwelling unit.             This is different from State Median Income in that the Income Limits are differentiated by Metro and             Nonmetro portions of the state.
# Source: % State Metro Median Income is calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 state median income (SMI) by metro/nonmetro area from HUD. A County Metro Status-differentiated Income Limits table is derived from the SMI by adjusting for household size only, which is consistent with how HUD's published State Income Limits table is generated.
