Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
FL, 05706	1	0	0	3055	50641	0.000369986
FL, 05707	1	0	0	4220	81314	0.000582444
FL, 05708	1	0	0	5374	92463	0.00062214
FL, 06100	1	0	0	3612	80098	0.000581747
FL, 06300	0	0	1	5424	89556	0.00065213
FL, 06901	1	0	0	2547	52472	0.000386215
FL, 06902	1	0	0	3734	96041	0.000650875
FL, 06903	1	0	0	3369	79326	0.000547299
FL, 07101	1	0	0	5393	103163	0.000754346
FL, 07102	1	0	0	3728	88002	0.000629512
FL, 07103	1	0	0	4072	67340	0.00049479
FL, 07104	1	0	0	3275	62011	0.000437515
FL, 07105	1	0	0	3578	73531	0.000514434
FL, 07300	1	0	0	3471	62056	0.000455351
FL, 07301	1	0	0	3306	67949	0.00049542
FL, 08101	1	0	0	2954	58971	0.00040279
FL, 08102	1	0	0	3897	68130	0.000505022
FL, 08103	1	0	0	2817	63899	0.00043861
FL, 08301	1	0	0	2573	53132	0.00038957
FL, 08302	1	0	0	2110	48549	0.000355866
FL, 08303	1	0	0	2247	67304	0.000484041
FL, 08500	1	0	0	3997	80046	0.000592699
FL, 08601	1	0	0	1762	41028	0.000292675
FL, 08602	1	0	0	1431	29308	0.000231331
FL, 08603	1	0	0	2082	45177	0.000346932
FL, 08604	1	0	0	3328	74830	0.000573309
FL, 08605	1	0	0	1749	35038	0.000256786
FL, 08606	1	0	0	1588	35597	0.000260854
FL, 08607	1	0	0	1614	33787	0.000244828
FL, 08608	1	0	0	2635	47118	0.000319129
FL, 08609	1	0	0	1693	33587	0.000243011
FL, 08610	1	0	0	2021	36168	0.000268308
FL, 08611	0	1	0	2245	53512	0.000371787
FL, 08612	1	0	0	3518	72722	0.00055202
FL, 08613	0	1	0	2452	52564	0.00036425
FL, 08614	1	0	0	2898	63890	0.000451469
FL, 08615	0	1	0	1715	42904	0.000310338
FL, 08616	1	0	0	2476	40588	0.000303649
FL, 08617	1	0	0	1842	36685	0.000277766
FL, 08618	1	0	0	1711	31273	0.000237712
FL, 08619	1	0	0	1718	33675	0.000253498
FL, 08620	1	0	0	1827	37366	0.000289026
FL, 08621	1	0	0	1788	33662	0.000243115
FL, 08622	1	0	0	1724	34485	0.000250502
FL, 08623	1	0	0	1937	36689	0.000267415
FL, 08624	1	0	0	1561	33176	0.000255923
FL, 08700	0	0	1	3697	62883	0.000474936
