Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Single-Family Detached	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000131
Single-Family Attached	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000286
Single-Family Detached	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000137
Single-Family Attached	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000300
Single-Family Detached	2000s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000140
Single-Family Attached	2000s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000306
Single-Family Detached	2010s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000032
Single-Family Attached	2010s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000070
Single-Family Detached	<1940	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000454
Single-Family Attached	<1940	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000992
Single-Family Detached	1940s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000182
Single-Family Attached	1940s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000397
Single-Family Detached	1950s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000383
Single-Family Attached	1950s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000838
Single-Family Detached	1960s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000388
Single-Family Attached	1960s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000848
Single-Family Detached	1970s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000554
Single-Family Attached	1970s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001210
Single-Family Detached	1980s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000485
Single-Family Attached	1980s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001061
Single-Family Detached	1990s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000510
Single-Family Attached	1990s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001114
Single-Family Detached	2000s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000519
Single-Family Attached	2000s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001136
Single-Family Detached	2010s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000118
Single-Family Attached	2010s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000258
Single-Family Detached	<1940	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000448
Single-Family Attached	<1940	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000979
Single-Family Detached	1940s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000179
Single-Family Attached	1940s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000392
Single-Family Detached	1950s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000378
Single-Family Attached	1950s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000826
Single-Family Detached	1960s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000382
Single-Family Attached	1960s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000836
Single-Family Detached	1970s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000546
Single-Family Attached	1970s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001193
Single-Family Detached	1980s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000478
Single-Family Attached	1980s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001046
Single-Family Detached	1990s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000502
Single-Family Attached	1990s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001098
Single-Family Detached	2000s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000512
Single-Family Attached	2000s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001120
Single-Family Detached	2010s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000116
Single-Family Attached	2010s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000254
Single-Family Detached	<1940	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001019
Single-Family Attached	<1940	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.002229
Single-Family Detached	1940s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000408
Single-Family Attached	1940s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000892
Single-Family Detached	1950s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000860
Single-Family Attached	1950s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001881
Single-Family Detached	1960s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000871
Single-Family Attached	1960s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001904
Single-Family Detached	1970s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001243
Single-Family Attached	1970s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.002718
Single-Family Detached	1980s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001090
Single-Family Attached	1980s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.002383
Single-Family Detached	1990s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001144
Single-Family Attached	1990s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.002502
Single-Family Detached	2000s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001166
Single-Family Attached	2000s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.002550
Single-Family Detached	2010s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000265
Single-Family Attached	2010s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000580
Single-Family Detached	<1940	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000131
Single-Family Attached	<1940	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000287
Single-Family Detached	1940s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000053
Single-Family Attached	1940s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000115
Single-Family Detached	1950s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000111
Single-Family Attached	1950s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000242
Single-Family Detached	1960s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000112
Single-Family Attached	1960s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000245
Single-Family Detached	1970s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000160
Single-Family Attached	1970s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000350
Single-Family Detached	1980s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000140
Single-Family Attached	1980s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000307
Single-Family Detached	1990s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000147
Single-Family Attached	1990s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000322
Single-Family Detached	2000s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000150
Single-Family Attached	2000s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000328
Single-Family Detached	2010s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000034
Single-Family Attached	2010s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000075
Single-Family Detached	<1940	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000364
Single-Family Attached	<1940	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000796
Single-Family Detached	1940s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000146
Single-Family Attached	1940s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000319
Single-Family Detached	1950s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000307
Single-Family Attached	1950s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000672
Single-Family Detached	1960s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000311
Single-Family Attached	1960s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000680
Single-Family Detached	1970s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000444
Single-Family Attached	1970s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000971
Single-Family Detached	1980s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000389
Single-Family Attached	1980s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000851
Single-Family Detached	1990s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000409
Single-Family Attached	1990s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000893
Single-Family Detached	2000s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000417
Single-Family Attached	2000s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000911
Single-Family Detached	2010s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000095
Single-Family Attached	2010s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000207
Single-Family Detached	<1940	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.001649
Single-Family Attached	<1940	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000162
Multi-Family with 2 - 4 Units	<1940	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000255
Multi-Family with 5+ Units	<1940	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000565
Mobile Home	<1940	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000660
Single-Family Attached	1940s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000065
Multi-Family with 2 - 4 Units	1940s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000102
Multi-Family with 5+ Units	1940s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000226
Mobile Home	1940s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.001392
Single-Family Attached	1950s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000137
Multi-Family with 2 - 4 Units	1950s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000215
Multi-Family with 5+ Units	1950s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000477
Mobile Home	1950s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.001408
Single-Family Attached	1960s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000138
Multi-Family with 2 - 4 Units	1960s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000218
Multi-Family with 5+ Units	1960s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000483
Mobile Home	1960s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.002011
Single-Family Attached	1970s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000198
Multi-Family with 2 - 4 Units	1970s	CR02	Slab	0.000000	0.000000	0.000000	1.000000	0.000311
