Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
Room AC	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	2010s	0	0	0	0	0	0	0.000859	0.19641	0.605167	0.197564	0	15	70349.2	4.0575e-06
Room AC	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	2010s	0	0	0	0	0	0	0.000834	0.270989	0.562609	0.165567	0	71	359112	0.000183751
Central AC	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	1	5	49372.1	0.000872688
Central AC	Heating Only	<1940	0.010415	0.102907	0.592685	0.293992	0	0	0	0	0	0	0	7	83993.7	0.00116147
Central AC	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	1	13	220664	0.0115857
Central AC	None	<1940	0.020989	0.190122	0.542976	0.245913	0	0	0	0	0	0	0	383	3.45604e+06	0.0558136
Heat Pump	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	3.54313e-05
Heat Pump	Heating Only	<1940	0	0	0	0	1	0	0	0	0	0	0	0	0	1.71214e-05
Heat Pump	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	1	1	7872.64	0.000551022
Heat Pump	None	<1940	0	0	0	0	1	0	0	0	0	0	0	35	326364	0.00269689
None	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	<1940	0	0	0	0	0	1	0	0	0	0	0	70	779478	0.0214524
None	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	<1940	0	0	0	0	0	1	0	0	0	0	0	342	3.13812e+06	0.071076
Room AC	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	<1940	0	0	0	0	0	0	0.039747	0.248166	0.527012	0.185075	0	138	1.40139e+06	0.00646179
Room AC	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	<1940	0	0	0	0	0	0	0.060446	0.324271	0.460665	0.154618	0	520	4.96834e+06	0.0313347
# Created by: sources\recs\2009\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Source: Efficiency data based on CAC-ASHP-shipments-table.tsv, room_AC_efficiency_vs_age.tsv and expanded_HESC_HVAC_efficiencies.tsv combined with age of equipment data from RECS
# Assumption: Check the assumptions on the source tsv files.
# Copied: This characteristic was copied from project_national.
