Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight
MD, 00200	50 or more Unit	0.006454	0.040156	0.160879	0.257119	0.169977	0.097130	0.105443	0.041280	0.121564	0.000000	0.000000
MD, 00200	Mobile Home	0.000000	0.022527	0.067502	0.230735	0.260137	0.240352	0.099412	0.075416	0.003918	0.000000	0.000000
MD, 00200	Single-Family Attached	0.058926	0.065865	0.075128	0.088948	0.107123	0.135778	0.212859	0.052088	0.203284	0.000000	0.000000
MD, 00200	Single-Family Detached	0.057348	0.130952	0.111818	0.104887	0.090985	0.147422	0.145416	0.022827	0.188344	0.000000	0.000000
MD, 00301	10 to 19 Unit	0.000000	0.011805	0.000000	0.207974	0.162560	0.388338	0.127853	0.059585	0.041885	0.000000	0.000000
MD, 00301	2 Unit	0.000000	0.065447	0.056940	0.153300	0.062908	0.139296	0.290234	0.080638	0.151237	0.000000	0.000000
MD, 00301	20 to 49 Unit	0.018196	0.012737	0.073612	0.028495	0.175397	0.321561	0.155192	0.195442	0.019368	0.000000	0.000000
MD, 00301	3 or 4 Unit	0.000000	0.051772	0.000000	0.305811	0.029184	0.124033	0.000000	0.000000	0.489200	0.000000	0.000000
MD, 00301	5 to 9 Unit	0.020149	0.072202	0.067930	0.190641	0.184338	0.233795	0.115366	0.000000	0.115579	0.000000	0.000000
MD, 00301	50 or more Unit	0.000000	0.000000	0.000000	0.110335	0.116022	0.362214	0.217833	0.152349	0.041247	0.000000	0.000000
MD, 00301	Mobile Home	0.015513	0.015513	0.090644	0.161146	0.233117	0.202444	0.105012	0.041766	0.134845	0.000000	0.000000
MD, 00301	Single-Family Attached	0.008486	0.024836	0.006253	0.108392	0.198412	0.187067	0.295405	0.141786	0.029362	0.000000	0.000000
MD, 00301	Single-Family Detached	0.023803	0.049162	0.063137	0.145274	0.186550	0.196930	0.156470	0.056879	0.121794	0.000000	0.000000
MD, 00302	10 to 19 Unit	0.007973	0.004196	0.044216	0.201430	0.223041	0.257704	0.177988	0.063117	0.020335	0.000000	0.000000
MD, 00302	2 Unit	0.053471	0.072342	0.044495	0.170308	0.140105	0.021764	0.085499	0.000000	0.412017	0.000000	0.000000
MD, 00302	20 to 49 Unit	0.011559	0.022348	0.027817	0.055635	0.125308	0.188628	0.123690	0.385102	0.059911	0.000000	0.000000
MD, 00302	3 or 4 Unit	0.026672	0.058862	0.035891	0.099599	0.204442	0.116937	0.043652	0.029005	0.384940	0.000000	0.000000
MD, 00302	5 to 9 Unit	0.008007	0.039615	0.034537	0.126226	0.301090	0.247506	0.081464	0.025559	0.135995	0.000000	0.000000
MD, 00302	50 or more Unit	0.000000	0.007413	0.037968	0.131380	0.080678	0.265544	0.369416	0.083918	0.023684	0.000000	0.000000
MD, 00302	Mobile Home	0.015513	0.015513	0.000000	0.251790	0.340396	0.095165	0.105012	0.041766	0.134845	0.000000	0.000000
MD, 00302	Single-Family Attached	0.006836	0.008008	0.026236	0.073842	0.164423	0.256157	0.219898	0.111265	0.133336	0.000000	0.000000
MD, 00302	Single-Family Detached	0.027218	0.076593	0.104561	0.157289	0.151277	0.207756	0.142334	0.037775	0.095197	0.000000	0.000000
MD, 00400	10 to 19 Unit	0.036028	0.009160	0.092325	0.160101	0.295065	0.187164	0.162351	0.016266	0.041540	0.000000	0.000000
MD, 00400	2 Unit	0.021987	0.153912	0.073261	0.158532	0.027620	0.101273	0.016771	0.000000	0.446643	0.000000	0.000000
MD, 00400	20 to 49 Unit	0.000000	0.179005	0.033375	0.354604	0.063961	0.069957	0.187249	0.000000	0.111850	0.000000	0.000000
MD, 00400	3 or 4 Unit	0.091799	0.101112	0.051160	0.138365	0.042338	0.086905	0.034792	0.000000	0.453529	0.000000	0.000000
MD, 00400	5 to 9 Unit	0.022792	0.041310	0.134452	0.290068	0.094241	0.071575	0.112997	0.000000	0.232566	0.000000	0.000000
MD, 00400	50 or more Unit	0.000000	0.018618	0.052240	0.291175	0.194487	0.113246	0.216111	0.037094	0.077029	0.000000	0.000000
MD, 00400	Mobile Home	0.000000	0.000000	0.125771	0.346239	0.392011	0.031653	0.083969	0.020356	0.000000	0.000000	0.000000
MD, 00400	Single-Family Attached	0.043921	0.052074	0.016085	0.114416	0.240754	0.196579	0.175047	0.062113	0.099012	0.000000	0.000000
MD, 00400	Single-Family Detached	0.021148	0.059928	0.078256	0.202188	0.180776	0.191025	0.138111	0.034030	0.094538	0.000000	0.000000
MD, 00501	10 to 19 Unit	0.000000	0.130110	0.151899	0.358834	0.111006	0.063038	0.019141	0.000000	0.165972	0.000000	0.000000
MD, 00501	2 Unit	0.112673	0.063379	0.017372	0.027023	0.022190	0.071612	0.000000	0.000000	0.685751	0.000000	0.000000
MD, 00501	20 to 49 Unit	0.000000	0.000000	0.000000	0.155170	0.050676	0.177929	0.312305	0.000000	0.303921	0.000000	0.000000
MD, 00501	3 or 4 Unit	0.000000	0.000000	0.158230	0.000000	0.074614	0.055456	0.000000	0.000000	0.711700	0.000000	0.000000
MD, 00501	5 to 9 Unit	0.243121	0.262682	0.076598	0.183068	0.040425	0.034221	0.029922	0.019866	0.110097	0.000000	0.000000
MD, 00501	50 or more Unit	0.000000	0.000000	0.000000	0.048079	0.033426	0.031936	0.157367	0.373384	0.355807	0.000000	0.000000
MD, 00501	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00501	Single-Family Attached	0.014162	0.248615	0.052610	0.139512	0.086938	0.141264	0.080483	0.053044	0.183371	0.000000	0.000000
MD, 00501	Single-Family Detached	0.113085	0.272511	0.035684	0.048263	0.021905	0.018517	0.029741	0.013735	0.446558	0.000000	0.000000
MD, 00502	10 to 19 Unit	0.096108	0.092676	0.072086	0.197435	0.072950	0.093216	0.066846	0.066280	0.242404	0.000000	0.000000
MD, 00502	2 Unit	0.287789	0.000000	0.090402	0.087577	0.005363	0.000000	0.000000	0.067794	0.461074	0.000000	0.000000
MD, 00502	20 to 49 Unit	0.000000	0.000000	0.222491	0.179956	0.121122	0.125781	0.137529	0.213120	0.000000	0.000000	0.000000
MD, 00502	3 or 4 Unit	0.000000	0.000000	0.101095	0.232824	0.049433	0.000000	0.016669	0.000000	0.599980	0.000000	0.000000
MD, 00502	5 to 9 Unit	0.148560	0.100192	0.167109	0.224244	0.055710	0.040266	0.032549	0.000000	0.231369	0.000000	0.000000
MD, 00502	50 or more Unit	0.048076	0.000000	0.030487	0.082943	0.009682	0.024257	0.096605	0.298180	0.409770	0.000000	0.000000
MD, 00502	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00502	Single-Family Attached	0.126467	0.119178	0.035460	0.070267	0.039420	0.074508	0.066766	0.017543	0.450392	0.000000	0.000000
MD, 00502	Single-Family Detached	0.055002	0.369939	0.056362	0.026519	0.011754	0.015001	0.020368	0.014706	0.430348	0.000000	0.000000
MD, 00503	10 to 19 Unit	0.082253	0.154031	0.178762	0.248550	0.077782	0.043237	0.016070	0.051632	0.147682	0.000000	0.000000
MD, 00503	2 Unit	0.160083	0.403409	0.045417	0.098100	0.016768	0.008384	0.000000	0.000000	0.267838	0.000000	0.000000
MD, 00503	20 to 49 Unit	0.000000	0.025591	0.036301	0.051629	0.014892	0.048192	0.156339	0.554070	0.112987	0.000000	0.000000
MD, 00503	3 or 4 Unit	0.025921	0.060483	0.009805	0.054747	0.024303	0.022347	0.007281	0.000000	0.795111	0.000000	0.000000
MD, 00503	5 to 9 Unit	0.037216	0.200813	0.183235	0.279802	0.178561	0.066439	0.005880	0.022110	0.025945	0.000000	0.000000
MD, 00503	50 or more Unit	0.069853	0.060266	0.057705	0.087238	0.046229	0.060576	0.182379	0.034718	0.401035	0.000000	0.000000
MD, 00503	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00503	Single-Family Attached	0.071611	0.141618	0.040198	0.095376	0.148694	0.096905	0.055897	0.032615	0.317087	0.000000	0.000000
MD, 00503	Single-Family Detached	0.069018	0.333882	0.055453	0.026768	0.013164	0.008673	0.028670	0.013091	0.451281	0.000000	0.000000
MD, 00504	10 to 19 Unit	0.054226	0.189261	0.214302	0.219491	0.087314	0.058576	0.033746	0.000000	0.143085	0.000000	0.000000
MD, 00504	2 Unit	0.075747	0.145951	0.098049	0.035839	0.044204	0.004912	0.064162	0.000000	0.531137	0.000000	0.000000
MD, 00504	20 to 49 Unit	0.010696	0.139046	0.055786	0.215315	0.034359	0.083232	0.026086	0.083818	0.351661	0.000000	0.000000
MD, 00504	3 or 4 Unit	0.177579	0.129290	0.092363	0.056254	0.012654	0.016795	0.006889	0.000000	0.508177	0.000000	0.000000
MD, 00504	5 to 9 Unit	0.027805	0.221245	0.158468	0.281172	0.058871	0.039424	0.000000	0.021071	0.191945	0.000000	0.000000
MD, 00504	50 or more Unit	0.013392	0.016071	0.043136	0.151866	0.033986	0.149051	0.144427	0.239549	0.208522	0.000000	0.000000
MD, 00504	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00504	Single-Family Attached	0.117687	0.381476	0.047243	0.095784	0.057165	0.026968	0.034444	0.025981	0.213251	0.000000	0.000000
MD, 00504	Single-Family Detached	0.088747	0.239091	0.041172	0.023312	0.020397	0.012252	0.030783	0.010740	0.533504	0.000000	0.000000
MD, 00505	10 to 19 Unit	0.027917	0.170823	0.134846	0.247256	0.068998	0.110574	0.102955	0.000000	0.136631	0.000000	0.000000
MD, 00505	2 Unit	0.114086	0.000000	0.035902	0.154030	0.000000	0.010176	0.000000	0.000000	0.685806	0.000000	0.000000
MD, 00505	20 to 49 Unit	0.000000	0.212475	0.110827	0.020881	0.007057	0.109885	0.068768	0.000000	0.470106	0.000000	0.000000
MD, 00505	3 or 4 Unit	0.153098	0.134968	0.040080	0.000000	0.010781	0.017295	0.005596	0.000000	0.638182	0.000000	0.000000
MD, 00505	5 to 9 Unit	0.047731	0.148497	0.108817	0.292535	0.044941	0.095500	0.037531	0.000000	0.224447	0.000000	0.000000
MD, 00505	50 or more Unit	0.000000	0.000000	0.081734	0.095224	0.022662	0.056779	0.049632	0.693969	0.000000	0.000000	0.000000
MD, 00505	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00505	Single-Family Attached	0.117789	0.362324	0.066456	0.122024	0.071843	0.065941	0.059352	0.019196	0.115074	0.000000	0.000000
MD, 00505	Single-Family Detached	0.149962	0.208505	0.035707	0.030929	0.017266	0.011559	0.025883	0.014581	0.505608	0.000000	0.000000
MD, 00506	10 to 19 Unit	0.086752	0.082875	0.236345	0.304522	0.117009	0.114536	0.057961	0.000000	0.000000	0.000000	0.000000
MD, 00506	2 Unit	0.100586	0.144283	0.036451	0.022644	0.013887	0.009679	0.013258	0.000000	0.659213	0.000000	0.000000
MD, 00506	20 to 49 Unit	0.122533	0.000000	0.140401	0.295922	0.088878	0.065836	0.051851	0.234581	0.000000	0.000000	0.000000
MD, 00506	3 or 4 Unit	0.100647	0.105245	0.042095	0.050308	0.039116	0.007302	0.005134	0.053686	0.596468	0.000000	0.000000
MD, 00506	5 to 9 Unit	0.041915	0.193106	0.269741	0.230132	0.042024	0.043171	0.026328	0.000000	0.153584	0.000000	0.000000
MD, 00506	50 or more Unit	0.008504	0.033164	0.021646	0.085444	0.114154	0.075090	0.242709	0.419290	0.000000	0.000000	0.000000
MD, 00506	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00506	Single-Family Attached	0.086487	0.405238	0.077535	0.030814	0.031290	0.014101	0.008417	0.018456	0.327662	0.000000	0.000000
MD, 00506	Single-Family Detached	0.133233	0.159126	0.042367	0.030559	0.026080	0.024754	0.050465	0.013007	0.520409	0.000000	0.000000
MD, 00507	10 to 19 Unit	0.030721	0.128275	0.228842	0.228842	0.107640	0.055175	0.076045	0.000000	0.144460	0.000000	0.000000
MD, 00507	2 Unit	0.160882	0.175508	0.085685	0.051862	0.005384	0.016339	0.000000	0.000000	0.504340	0.000000	0.000000
MD, 00507	20 to 49 Unit	0.018493	0.136389	0.177486	0.284405	0.100364	0.076065	0.063313	0.000000	0.143485	0.000000	0.000000
MD, 00507	3 or 4 Unit	0.077811	0.073820	0.126422	0.077514	0.018236	0.021655	0.014903	0.000000	0.589639	0.000000	0.000000
MD, 00507	5 to 9 Unit	0.051577	0.182200	0.192915	0.114608	0.058672	0.068023	0.027917	0.122193	0.181895	0.000000	0.000000
MD, 00507	50 or more Unit	0.030690	0.000000	0.053478	0.108277	0.112044	0.079099	0.162899	0.302487	0.151026	0.000000	0.000000
MD, 00507	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037453	0.812734	0.149813	0.000000	0.000000
MD, 00507	Single-Family Attached	0.097986	0.409558	0.068442	0.043435	0.045555	0.043528	0.033265	0.007099	0.251132	0.000000	0.000000
MD, 00507	Single-Family Detached	0.076593	0.250750	0.052812	0.026031	0.014915	0.016572	0.031339	0.018877	0.512112	0.000000	0.000000
MD, 00601	10 to 19 Unit	0.000000	0.037868	0.017265	0.196128	0.149706	0.244873	0.285792	0.050935	0.017434	0.000000	0.000000
MD, 00601	2 Unit	0.246460	0.237658	0.000000	0.000000	0.098753	0.000000	0.000000	0.000000	0.417129	0.000000	0.000000
MD, 00601	20 to 49 Unit	0.000000	0.055192	0.123803	0.144436	0.036211	0.130359	0.102034	0.351320	0.056645	0.000000	0.000000
MD, 00601	3 or 4 Unit	0.000000	0.000000	0.162946	0.358482	0.138333	0.035388	0.000000	0.099178	0.205673	0.000000	0.000000
MD, 00601	5 to 9 Unit	0.000000	0.015999	0.160116	0.345998	0.119907	0.223826	0.020477	0.000000	0.113678	0.000000	0.000000
MD, 00601	50 or more Unit	0.000000	0.000000	0.052234	0.086456	0.352761	0.098147	0.205971	0.175407	0.029023	0.000000	0.000000
MD, 00601	Mobile Home	0.000000	0.017248	0.021211	0.159898	0.402373	0.156560	0.212731	0.021766	0.008214	0.000000	0.000000
MD, 00601	Single-Family Attached	0.000000	0.008395	0.010101	0.042343	0.248695	0.333685	0.216542	0.118185	0.022053	0.000000	0.000000
MD, 00601	Single-Family Detached	0.026149	0.083810	0.129096	0.166001	0.165722	0.190936	0.147305	0.035611	0.055370	0.000000	0.000000
MD, 00602	10 to 19 Unit	0.000000	0.010303	0.056209	0.223464	0.155962	0.243137	0.210119	0.095298	0.005510	0.000000	0.000000
MD, 00602	2 Unit	0.024243	0.063033	0.028388	0.240004	0.082050	0.145297	0.160112	0.013888	0.242985	0.000000	0.000000
MD, 00602	20 to 49 Unit	0.059270	0.011213	0.040925	0.260894	0.125371	0.074545	0.201726	0.206476	0.019580	0.000000	0.000000
MD, 00602	3 or 4 Unit	0.025759	0.057314	0.201539	0.094600	0.140305	0.215906	0.045414	0.018446	0.200717	0.000000	0.000000
MD, 00602	5 to 9 Unit	0.016673	0.045732	0.037272	0.242646	0.233274	0.171806	0.147176	0.051851	0.053569	0.000000	0.000000
MD, 00602	50 or more Unit	0.024057	0.013122	0.135025	0.102433	0.098689	0.141865	0.341505	0.102317	0.040988	0.000000	0.000000
MD, 00602	Mobile Home	0.008624	0.008624	0.025251	0.155858	0.189803	0.369129	0.212731	0.021766	0.008214	0.000000	0.000000
MD, 00602	Single-Family Attached	0.011931	0.029417	0.056368	0.191261	0.170721	0.243531	0.178188	0.084281	0.034302	0.000000	0.000000
MD, 00602	Single-Family Detached	0.038559	0.091859	0.174122	0.093036	0.152646	0.221137	0.143840	0.023669	0.061132	0.000000	0.000000
MD, 00700	10 to 19 Unit	0.007950	0.021979	0.000000	0.050436	0.088135	0.310324	0.212810	0.257543	0.050823	0.000000	0.000000
MD, 00700	2 Unit	0.091005	0.069231	0.003474	0.132012	0.134406	0.081351	0.193657	0.072126	0.222737	0.000000	0.000000
MD, 00700	20 to 49 Unit	0.000000	0.003189	0.000000	0.313099	0.005051	0.279492	0.008850	0.390318	0.000000	0.000000	0.000000
MD, 00700	3 or 4 Unit	0.137416	0.025161	0.020071	0.078279	0.113417	0.213041	0.106070	0.000000	0.306545	0.000000	0.000000
MD, 00700	5 to 9 Unit	0.011360	0.005396	0.014137	0.242089	0.147528	0.273017	0.071712	0.129371	0.105392	0.000000	0.000000
MD, 00700	50 or more Unit	0.014416	0.000000	0.000000	0.051257	0.079911	0.195700	0.347163	0.311554	0.000000	0.000000	0.000000
MD, 00700	Mobile Home	0.000000	0.012220	0.009717	0.106882	0.326071	0.167310	0.303971	0.069246	0.004582	0.000000	0.000000
MD, 00700	Single-Family Attached	0.027453	0.058121	0.032818	0.137523	0.159629	0.197882	0.223278	0.066391	0.096905	0.000000	0.000000
MD, 00700	Single-Family Detached	0.037524	0.081764	0.075643	0.139008	0.146306	0.212502	0.182429	0.031517	0.093308	0.000000	0.000000
MD, 00801	10 to 19 Unit	0.035091	0.049080	0.207840	0.184455	0.240076	0.189787	0.062260	0.010990	0.020423	0.000000	0.000000
MD, 00801	2 Unit	0.232782	0.061972	0.228353	0.098724	0.117156	0.051434	0.000000	0.000000	0.209580	0.000000	0.000000
MD, 00801	20 to 49 Unit	0.022712	0.060648	0.146038	0.086295	0.372856	0.136254	0.108921	0.030255	0.036020	0.000000	0.000000
MD, 00801	3 or 4 Unit	0.061790	0.057803	0.140265	0.122962	0.235890	0.141534	0.062660	0.075804	0.101292	0.000000	0.000000
MD, 00801	5 to 9 Unit	0.021144	0.101901	0.246031	0.257096	0.193899	0.067702	0.046702	0.000000	0.065524	0.000000	0.000000
MD, 00801	50 or more Unit	0.016545	0.029798	0.095792	0.147244	0.194610	0.191496	0.187319	0.116775	0.020421	0.000000	0.000000
MD, 00801	Mobile Home	0.000000	0.000000	0.000000	0.205224	0.212420	0.212420	0.282516	0.087420	0.000000	0.000000	0.000000
MD, 00801	Single-Family Attached	0.157188	0.174682	0.139802	0.091939	0.095126	0.140435	0.076895	0.034912	0.089020	0.000000	0.000000
MD, 00801	Single-Family Detached	0.105977	0.223968	0.170046	0.051362	0.109972	0.128810	0.074797	0.044958	0.090110	0.000000	0.000000
MD, 00802	10 to 19 Unit	0.040956	0.071905	0.161836	0.211233	0.176087	0.199985	0.076638	0.043343	0.018017	0.000000	0.000000
MD, 00802	2 Unit	0.079378	0.060701	0.234646	0.094398	0.219926	0.146017	0.066645	0.012789	0.085501	0.000000	0.000000
MD, 00802	20 to 49 Unit	0.021742	0.043966	0.249075	0.118189	0.242861	0.000000	0.168058	0.105870	0.050240	0.000000	0.000000
MD, 00802	3 or 4 Unit	0.088130	0.074880	0.221157	0.056068	0.221517	0.091605	0.061575	0.011817	0.173252	0.000000	0.000000
MD, 00802	5 to 9 Unit	0.047107	0.055954	0.187085	0.153729	0.183527	0.193866	0.030085	0.065497	0.083152	0.000000	0.000000
MD, 00802	50 or more Unit	0.023270	0.052307	0.195814	0.118614	0.174863	0.223953	0.126586	0.059197	0.025396	0.000000	0.000000
MD, 00802	Mobile Home	0.000000	0.000000	0.102612	0.102612	0.424840	0.000000	0.282516	0.087420	0.000000	0.000000	0.000000
MD, 00802	Single-Family Attached	0.170258	0.156621	0.123815	0.090009	0.170390	0.095002	0.065079	0.040719	0.088107	0.000000	0.000000
MD, 00802	Single-Family Detached	0.143608	0.202367	0.209465	0.068165	0.096096	0.043680	0.113698	0.029322	0.093600	0.000000	0.000000
MD, 00803	10 to 19 Unit	0.028090	0.047226	0.230644	0.229760	0.191996	0.141204	0.086721	0.000000	0.044358	0.000000	0.000000
MD, 00803	2 Unit	0.142313	0.130512	0.179083	0.060277	0.164693	0.130549	0.000000	0.000000	0.192573	0.000000	0.000000
MD, 00803	20 to 49 Unit	0.000000	0.023453	0.095480	0.035588	0.111755	0.031930	0.203336	0.495006	0.003453	0.000000	0.000000
MD, 00803	3 or 4 Unit	0.018529	0.105699	0.186530	0.241641	0.170566	0.208334	0.000000	0.000000	0.068701	0.000000	0.000000
MD, 00803	5 to 9 Unit	0.039444	0.053711	0.118984	0.252401	0.275985	0.169152	0.057948	0.000000	0.032375	0.000000	0.000000
MD, 00803	50 or more Unit	0.000000	0.044611	0.095577	0.061607	0.176059	0.315053	0.277047	0.000000	0.030047	0.000000	0.000000
MD, 00803	Mobile Home	0.000000	0.000000	0.102612	0.102612	0.000000	0.424840	0.282516	0.087420	0.000000	0.000000	0.000000
MD, 00803	Single-Family Attached	0.134113	0.265981	0.194274	0.085019	0.096587	0.084456	0.049980	0.016548	0.073044	0.000000	0.000000
MD, 00803	Single-Family Detached	0.067081	0.161213	0.103636	0.048781	0.199616	0.120049	0.115492	0.070350	0.113783	0.000000	0.000000
MD, 00804	10 to 19 Unit	0.035745	0.060256	0.406830	0.242987	0.116384	0.084119	0.016469	0.015575	0.021634	0.000000	0.000000
MD, 00804	2 Unit	0.133255	0.115396	0.230662	0.105526	0.111601	0.103851	0.049695	0.060911	0.089102	0.000000	0.000000
MD, 00804	20 to 49 Unit	0.062910	0.107693	0.088066	0.056536	0.102862	0.319415	0.111532	0.031167	0.119820	0.000000	0.000000
MD, 00804	3 or 4 Unit	0.083947	0.112099	0.100212	0.181634	0.239103	0.138610	0.004685	0.003469	0.136240	0.000000	0.000000
MD, 00804	5 to 9 Unit	0.054055	0.102062	0.174991	0.259018	0.195767	0.063976	0.030643	0.023059	0.096428	0.000000	0.000000
MD, 00804	50 or more Unit	0.021211	0.025853	0.122932	0.150806	0.250090	0.187022	0.141197	0.070736	0.030153	0.000000	0.000000
MD, 00804	Mobile Home	0.000000	0.000000	0.086410	0.118814	0.000000	0.424840	0.282516	0.087420	0.000000	0.000000	0.000000
MD, 00804	Single-Family Attached	0.172175	0.178288	0.126671	0.075064	0.141683	0.083877	0.075923	0.045165	0.101153	0.000000	0.000000
MD, 00804	Single-Family Detached	0.060489	0.167109	0.204785	0.167902	0.125441	0.170651	0.077877	0.000000	0.025747	0.000000	0.000000
MD, 00805	10 to 19 Unit	0.003263	0.034803	0.320381	0.202087	0.087245	0.160530	0.100778	0.062871	0.028043	0.000000	0.000000
MD, 00805	2 Unit	0.099593	0.117150	0.164917	0.086799	0.297033	0.086037	0.015659	0.020234	0.112578	0.000000	0.000000
MD, 00805	20 to 49 Unit	0.024666	0.029233	0.139109	0.074523	0.278474	0.155359	0.214736	0.027315	0.056585	0.000000	0.000000
MD, 00805	3 or 4 Unit	0.069390	0.095291	0.289548	0.209553	0.034886	0.145700	0.033334	0.037480	0.084819	0.000000	0.000000
MD, 00805	5 to 9 Unit	0.045877	0.038586	0.209843	0.096660	0.209601	0.295391	0.050302	0.018532	0.035207	0.000000	0.000000
MD, 00805	50 or more Unit	0.025537	0.012481	0.165508	0.036025	0.218100	0.227342	0.189168	0.099436	0.026404	0.000000	0.000000
MD, 00805	Mobile Home	0.000000	0.000000	0.000000	0.205224	0.000000	0.424840	0.282516	0.087420	0.000000	0.000000	0.000000
MD, 00805	Single-Family Attached	0.137475	0.195890	0.151021	0.067004	0.108732	0.132202	0.080821	0.039032	0.087823	0.000000	0.000000
MD, 00805	Single-Family Detached	0.125882	0.189364	0.173116	0.134646	0.089912	0.113609	0.041317	0.031055	0.101100	0.000000	0.000000
MD, 00901	10 to 19 Unit	0.000000	0.042320	0.023547	0.220561	0.308972	0.235032	0.114888	0.054678	0.000000	0.000000	0.000000
MD, 00901	2 Unit	0.000000	0.040109	0.000000	0.132805	0.000000	0.000000	0.083672	0.743414	0.000000	0.000000	0.000000
MD, 00901	20 to 49 Unit	0.000000	0.000000	0.017645	0.172924	0.112920	0.252806	0.411721	0.000000	0.031985	0.000000	0.000000
MD, 00901	3 or 4 Unit	0.000000	0.000000	0.094297	0.065431	0.352917	0.246766	0.000000	0.127675	0.112914	0.000000	0.000000
MD, 00901	5 to 9 Unit	0.003103	0.009874	0.166387	0.235716	0.348042	0.189913	0.046964	0.000000	0.000000	0.000000	0.000000
MD, 00901	50 or more Unit	0.000000	0.000000	0.091050	0.113169	0.122709	0.127131	0.209080	0.322506	0.014355	0.000000	0.000000
MD, 00901	Mobile Home	0.005996	0.005996	0.023063	0.023063	0.152538	0.516281	0.209410	0.063653	0.000000	0.000000	0.000000
MD, 00901	Single-Family Attached	0.007526	0.009236	0.090425	0.191270	0.215484	0.159991	0.203163	0.114328	0.008576	0.000000	0.000000
MD, 00901	Single-Family Detached	0.010402	0.048922	0.093211	0.160444	0.225195	0.244018	0.120538	0.071945	0.025326	0.000000	0.000000
MD, 00902	10 to 19 Unit	0.000000	0.000000	0.033783	0.189389	0.317975	0.227994	0.165050	0.055078	0.010731	0.000000	0.000000
MD, 00902	2 Unit	0.000000	0.186631	0.085959	0.278343	0.129724	0.105401	0.022356	0.000000	0.191586	0.000000	0.000000
MD, 00902	20 to 49 Unit	0.000000	0.019460	0.017382	0.081479	0.132877	0.054872	0.236885	0.457044	0.000000	0.000000	0.000000
MD, 00902	3 or 4 Unit	0.032543	0.000000	0.031087	0.153217	0.280392	0.258400	0.057841	0.116150	0.070370	0.000000	0.000000
MD, 00902	5 to 9 Unit	0.007652	0.014453	0.141490	0.294988	0.277153	0.190025	0.062076	0.009363	0.002800	0.000000	0.000000
MD, 00902	50 or more Unit	0.016661	0.010413	0.037985	0.164218	0.068399	0.184297	0.201499	0.316527	0.000000	0.000000	0.000000
MD, 00902	Mobile Home	0.005996	0.005996	0.018276	0.027849	0.330860	0.337960	0.209410	0.063653	0.000000	0.000000	0.000000
MD, 00902	Single-Family Attached	0.002026	0.011201	0.028971	0.180612	0.306818	0.203010	0.140814	0.115033	0.011515	0.000000	0.000000
MD, 00902	Single-Family Detached	0.010872	0.066597	0.092951	0.200400	0.207395	0.203158	0.133335	0.055829	0.029462	0.000000	0.000000
MD, 01001	10 to 19 Unit	0.000000	0.000000	0.024156	0.127139	0.334293	0.291676	0.062682	0.160054	0.000000	0.000000	0.000000
MD, 01001	2 Unit	0.222459	0.000000	0.134636	0.000000	0.062952	0.000000	0.212321	0.356377	0.011255	0.000000	0.000000
MD, 01001	20 to 49 Unit	0.000000	0.000000	0.157986	0.072917	0.066130	0.055549	0.563752	0.083666	0.000000	0.000000	0.000000
MD, 01001	3 or 4 Unit	0.037303	0.359043	0.021949	0.244578	0.125581	0.000000	0.018270	0.041119	0.152157	0.000000	0.000000
MD, 01001	5 to 9 Unit	0.000000	0.000000	0.102960	0.429536	0.308144	0.054626	0.026679	0.078056	0.000000	0.000000	0.000000
MD, 01001	50 or more Unit	0.000000	0.093408	0.316311	0.201901	0.038087	0.045899	0.254383	0.050010	0.000000	0.000000	0.000000
MD, 01001	Mobile Home	0.000000	0.000000	0.216393	0.000000	0.202221	0.581386	0.000000	0.000000	0.000000	0.000000	0.000000
MD, 01001	Single-Family Attached	0.044119	0.036950	0.013576	0.200400	0.252791	0.187522	0.114876	0.114595	0.035171	0.000000	0.000000
MD, 01001	Single-Family Detached	0.061963	0.175144	0.086795	0.196744	0.172088	0.148885	0.073976	0.029969	0.054437	0.000000	0.000000
MD, 01002	10 to 19 Unit	0.000000	0.047579	0.057576	0.275502	0.254263	0.155366	0.184900	0.000000	0.024814	0.000000	0.000000
MD, 01002	2 Unit	0.349291	0.000000	0.000000	0.000000	0.144972	0.032690	0.000000	0.473047	0.000000	0.000000	0.000000
MD, 01002	20 to 49 Unit	0.000000	0.300414	0.033910	0.190968	0.122427	0.088493	0.124356	0.139432	0.000000	0.000000	0.000000
